ticker,tier,base_close,fwd_close,pct_change
TRIP,Reversal Small,17.91,26.24,46.51
SRPT,Momentum Small,87.03,127.39,46.37
RDW,Momentum Mid,2.99,3.85,28.76
APH,Reversal Large,45.68,58.56,28.19
COHR,Momentum Large,41.38,52.88,27.79
OKLO,Reversal Small,10.36,13.0,25.48
KMPR,Momentum Small,44.2,55.32,25.17
OPLN,Reversal Small,14.34,17.38,21.2
FIS,Reversal Large,56.1,67.42,20.18
GDDY,Reversal Large,104.31,124.14,19.01
MUSA,Reversal Mid,349.84,415.95,18.9
DORM,Momentum Small,74.82,88.08,17.72
CVX,Reversal Large,129.75,150.23,15.78
MKC,Momentum Large,62.97,71.75,13.95
LGND,Momentum Small,61.82,70.37,13.83
LZ,Momentum Small,10.8,12.27,13.61
NEE,Momentum Large,55.87,63.19,13.09
RYAAY,Reversal Mid,47.84,54.04,12.95
UBER,Reversal Large,61.7,69.31,12.33
TFC,Momentum Large,30.44,34.16,12.22
KEY,Momentum Large,11.9,13.3,11.79
IFF,Momentum Large,72.61,80.89,11.41
CRUS,Momentum Mid,78.53,87.31,11.18
GRAB,Reversal Mid,3.15,3.5,11.11
WRLD,Momentum Small,124.07,137.01,10.43
REYN,Reversal Small,23.95,26.36,10.04
WSO,Momentum Mid,385.76,421.13,9.17
GMED,Reversal Mid,46.51,50.37,8.3
MMM,Reversal Large,81.2,87.31,7.52
CAG,Momentum Large,25.21,27.02,7.19
ZION,Momentum Mid,35.79,38.34,7.13
LHX,Reversal Large,187.63,199.77,6.47
VZ,Reversal Large,32.49,34.42,5.95
PENG,Momentum Small,17.51,18.49,5.6
BCO,Reversal Mid,82.16,85.22,3.72
AAL,Momentum Mid,13.76,14.13,2.69
MAA,Momentum Large,114.22,116.87,2.32
CRML,Reversal Mid,10.95,11.19,2.19
HSTM,Reversal Small,25.7,25.65,-0.2
GBCI,Momentum Mid,35.44,35.23,-0.59
RPRX,Momentum Large,26.77,26.53,-0.9
AIN,Momentum Small,85.84,84.62,-1.42
IDCC,Reversal Mid,103.58,97.82,-5.56
DAN,Momentum Small,12.78,11.54,-9.72
MTN,Reversal Mid,197.98,177.88,-10.16
TFX,Reversal Small,225.84,202.33,-10.41
JAZZ,Reversal Mid,120.42,107.43,-10.79
AKAM,Reversal Large,114.41,101.79,-11.03
IPGP,Momentum Mid,99.42,88.24,-11.25
UVV,Reversal Small,51.61,45.23,-12.37
AAPL,Reversal Large,193.52,168.2,-13.08
DT,Reversal Mid,54.13,46.6,-13.91
ALNY,Momentum Large,170.04,143.71,-15.48
MKTX,Momentum Small,251.82,194.62,-22.71
PL,Momentum Mid,2.43,1.76,-27.57
SHEN,Reversal Small,20.47,13.72,-33.0
QDEL,Reversal Small,66.02,39.69,-39.88
NVTS,Momentum Mid,7.54,4.14,-45.09
RIVN,Momentum Mid,19.04,8.52,-55.25
FWRD,Reversal Small,63.53,23.04,-63.73
