ticker,base_close,fwd_close,pct_change
GVT&D.NS,427.91,1107.75,158.88
COCHINSHIP.NS,621.89,1309.19,110.52
SCHNEIDER.NS,371.35,748.7,101.62
IRFC.NS,74.0,145.15,96.15
JAIBALAJI.NS,117.41,217.87,85.56
POLICYBZR.NS,818.9,1262.95,54.23
BHEL.NS,176.18,270.8,53.71
APARINDS.NS,5234.15,7755.04,48.16
HAL.NS,2655.75,3915.24,47.43
MAHABANK.NS,43.18,60.99,41.23
ABCAPITAL.NS,163.2,229.8,40.81
SOLARINDS.NS,6290.12,8789.82,39.74
ZENTEC.NS,742.01,1021.45,37.66
JINDALSTEL.NS,683.46,938.42,37.3
DIXON.NS,5960.12,8086.91,35.68
BPCL.NS,200.32,269.07,34.32
NAM-INDIA.NS,412.1,552.68,34.11
TATAPOWER.NS,320.17,426.95,33.35
INDIGO.NS,2893.06,3806.12,31.56
COALINDIA.NS,305.09,397.8,30.39
BSE.NS,798.95,1040.15,30.19
APLLTD.NS,756.56,975.53,28.94
LUPIN.NS,1226.31,1577.63,28.65
LICI.NS,377.65,483.18,27.94
PRICOLLTD.NS,339.94,432.53,27.24
NTPC.NS,269.11,342.43,27.24
M&M.NS,1643.22,2065.02,25.67
SHYAMMETL.NS,509.56,636.91,24.99
GRSE.NS,813.08,1009.81,24.19
HEROMOTOCO.NS,3402.45,4209.28,23.71
HDFCAMC.NS,1440.45,1778.28,23.45
HBLENGINE.NS,407.63,490.45,20.32
MAZDOCK.NS,1013.3,1208.4,19.25
IPCALAB.NS,1114.58,1322.85,18.69
ADANIGREEN.NS,1550.3,1812.65,16.92
BBTC.NS,1336.49,1548.7,15.88
SAREGAMA.NS,360.4,416.88,15.67
ISGEC.NS,920.03,1058.91,15.09
RECLTD.NS,365.16,410.55,12.43
AJANTPHARM.NS,1866.68,2097.17,12.35
RADICO.NS,1563.84,1728.72,10.54
PRESTIGE.NS,1183.95,1308.14,10.49
ADANIENT.NS,2819.65,3112.49,10.39
CEATLTD.NS,2274.99,2493.35,9.6
SRF.NS,2405.31,2623.67,9.08
SUZLON.NS,38.75,42.15,8.77
PFC.NS,350.1,376.48,7.54
PARAS.NS,704.16,757.27,7.54
WELCORP.NS,531.21,568.67,7.05
GREENLAM.NS,277.33,294.85,6.32
JKCEMENT.NS,3770.96,4002.79,6.15
TANLA.NS,869.14,920.66,5.93
CHOLAHLDNG.NS,1033.27,1092.71,5.75
DIVISLAB.NS,3642.7,3803.04,4.4
ASTRAL.NS,1919.56,2001.07,4.25
POLYCAB.NS,5391.52,5576.08,3.42
RKFORGE.NS,734.65,756.47,2.97
KTKBANK.NS,210.24,215.51,2.51
ALKEM.NS,4677.47,4778.8,2.17
WELENT.NS,338.17,341.68,1.04
CIEINDIA.NS,465.27,470.03,1.02
GILLETTE.NS,5930.68,5974.58,0.74
BAJFINANCE.NS,722.65,721.39,-0.17
SJS.NS,629.65,612.02,-2.8
DEEPAKFERT.NS,635.43,608.64,-4.22
THANGAMAYL.NS,1389.17,1304.55,-6.09
MEDPLUS.NS,727.15,680.45,-6.42
CLEAN.NS,1400.88,1300.63,-7.16
GAEL.NS,183.89,167.82,-8.74
HDFCLIFE.NS,667.13,591.05,-11.4
SFL.NS,1145.75,925.85,-19.19
ATGL.NS,1156.06,917.57,-20.63
NAZARA.NS,203.4,159.54,-21.56
ASHAPURMIN.NS,457.76,333.11,-27.23
PAYTM.NS,651.25,379.05,-41.8
