rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,EICHERMOT,96.07,0.9607,2023-12-07,43.5546,6.514,0.9934,0.0565,1.4188,1.0,0.0,0.4,0.0,0.4,-27.08,-36.15,-41.43,Large Cap
2,BEAR,ULTRACEMCO,95.11,0.9511,2023-12-07,32.7617,4.3122,1.0,0.0067,1.0992,1.0,0.0,0.0,0.0,0.0,-22.64,-30.63,-35.6,Large Cap
3,BEAR,VBL,92.66,0.9266,2023-12-07,37.2627,2.9936,0.9348,0.0359,0.4858,1.0,0.0,0.2667,0.0,0.2667,-17.1,-23.29,-27.35,Large Cap
4,BEAR,APOLLOHOSP,92.4,0.924,2023-12-07,35.7843,2.8817,0.988,0.003,0.9052,1.0,0.0,0.2667,0.0,0.2667,-16.62,-22.62,-26.6,Large Cap
5,BEAR,DLF,91.61,0.9161,2023-12-07,41.4477,4.6094,0.8112,-0.0489,1.4948,1.0,0.0,0.0,0.0,0.0,-15.64,-21.31,-25.06,Large Cap
6,BEAR,HDFCLIFE,90.83,0.9083,2023-12-07,30.9393,4.5527,0.9131,0.0094,0.683,1.0,0.0,0.5333,0.0,0.5333,-14.8,-20.15,-23.74,Large Cap
7,BEAR,SHRIRAMFIN,90.74,0.9074,2023-12-07,23.8022,1.0012,0.7783,-0.0529,1.6171,1.0,0.0,0.0,0.0,0.0,-14.71,-20.03,-23.6,Large Cap
8,BEAR,HINDZINC,90.3,0.903,2023-12-07,24.5921,5.3286,0.7971,0.0059,1.241,1.0,0.0,0.0,0.0,0.0,-14.28,-19.47,-22.93,Large Cap
9,BEAR,TORNTPHARM,88.55,0.8855,2023-12-07,39.7639,2.3165,0.9025,-0.0197,0.2288,1.0,0.0,0.0,0.0,0.0,-13.01,-17.76,-20.95,Large Cap
10,BEAR,DIVISLAB,88.47,0.8847,2023-12-07,29.0255,3.7182,0.8038,0.0006,0.7842,1.0,0.0,0.2667,0.0,0.2667,-12.94,-17.67,-20.84,Large Cap
