rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,AYMSYNTEX,100.0,1.0,2023-12-07,40.9081,-0.1971,0.8866,-0.0472,1.1864,1.0,0.0,0.0,0.1667,-0.1637,-99.72,-99.15,-99.15,Micro Cap
2,BEAR,DHAMPURSUG,99.09,0.9909,2023-12-07,17.0434,-1.3272,0.6473,-0.0757,1.5162,1.0,0.0,0.0,0.1333,-0.1333,-50.15,-58.82,-63.76,Micro Cap
3,BEAR,BOMDYEING,97.97,0.9797,2023-12-07,20.6475,-0.5368,0.7121,-0.0626,1.2128,1.0,0.0,0.0,0.0583,-0.0583,-44.67,-53.78,-58.0,Micro Cap
4,BEAR,DSSL,97.73,0.9773,2023-12-07,13.3839,-0.7891,0.6179,-0.0985,1.2565,1.0,0.0,0.4167,0.1667,0.1667,-40.82,-50.43,-54.71,Micro Cap
5,BEAR,DALMIASUG,96.95,0.9695,2023-12-07,22.689,-2.826,0.9032,-0.1426,1.4356,1.0,0.0,0.0,0.0,0.0,-35.71,-45.61,-50.38,Micro Cap
6,BEAR,NOCIL,96.86,0.9686,2023-12-07,26.3233,3.3667,0.9361,0.0614,1.1621,1.0,0.0,0.0,0.0,0.0,-33.92,-43.87,-48.86,Micro Cap
7,BEAR,APCOTEXIND,96.77,0.9677,2023-12-07,26.9262,1.4888,0.8317,-0.007,0.3593,1.0,0.0,0.0,0.0,0.0,-32.53,-42.36,-47.49,Micro Cap
8,BEAR,BHARATRAS,96.6,0.966,2023-12-07,30.613,3.2205,0.8633,0.0148,0.4291,1.0,0.0,0.0,0.0,0.0,-30.2,-39.85,-45.1,Micro Cap
9,BEAR,WINDLAS,96.25,0.9625,2023-12-07,40.1273,2.6837,0.8098,0.0481,0.761,1.0,0.0,0.0,0.0,0.0,-27.75,-36.96,-42.24,Micro Cap
10,BEAR,KOLTEPATIL,95.9,0.959,2023-12-07,14.8779,1.1118,0.7761,-0.0455,1.7579,1.0,0.0,0.0,0.0,0.0,-25.92,-34.73,-39.98,Micro Cap
