rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,GLAXO,95.98,0.9598,2023-12-07,40.1812,5.8348,0.9206,0.1141,1.1009,1.0,0.0,0.0,0.0,0.0,-26.46,-35.42,-40.66,Mid Cap
2,BEAR,IPCALAB,95.28,0.9528,2023-12-07,36.7115,4.9387,0.9927,0.0501,0.2709,1.0,0.0,0.0,0.0,0.0,-23.31,-31.47,-36.5,Mid Cap
3,BEAR,FEDERALBNK,94.67,0.9467,2023-12-07,23.9569,2.3298,0.8721,-0.0426,1.0878,1.0,0.0,0.0,0.0,0.0,-21.26,-28.82,-33.62,Mid Cap
4,BEAR,PAGEIND,93.89,0.9389,2023-12-07,12.9725,0.3584,0.7659,-0.0321,0.2609,1.0,0.0,0.0,0.0,0.0,-19.56,-26.55,-31.1,Mid Cap
5,BEAR,ICICIGI,93.45,0.9345,2023-12-07,38.0414,2.2303,0.9556,-0.0272,0.6974,1.0,0.0,0.0,0.0,0.0,-18.36,-24.97,-29.3,Mid Cap
6,BEAR,FLUOROCHEM,93.27,0.9327,2023-12-07,18.672,2.3151,0.7748,0.0041,0.5182,1.0,0.0,0.0,0.0,0.0,-18.06,-24.57,-28.83,Mid Cap
7,BEAR,SRF,90.13,0.9013,2023-12-07,29.3204,2.4794,0.8142,-0.0252,1.2448,1.0,0.0,0.0,0.0,0.0,-14.12,-19.25,-22.68,Mid Cap
8,BEAR,BERGEPAINT,89.95,0.8995,2023-12-07,17.4638,1.3559,0.6263,-0.0278,0.744,1.0,0.0,0.0,0.0,0.0,-13.88,-18.94,-22.31,Mid Cap
9,BEAR,NH,89.52,0.8952,2023-12-07,41.4577,3.1024,0.886,0.0507,1.0398,1.0,0.0,0.0,0.0,0.0,-13.65,-18.63,-21.96,Mid Cap
10,BEAR,RADICO,88.9,0.889,2023-12-07,48.8921,3.7206,1.0,0.1159,1.3994,1.0,0.0,0.0,0.0,0.0,-13.22,-18.04,-21.27,Mid Cap
