rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,SAFARI,97.29,0.9729,2023-12-07,17.6382,-1.4676,0.7438,-0.1007,0.4298,1.0,0.0,0.0,0.0833,-0.0833,-37.95,-47.76,-52.34,Small Cap
2,BEAR,PGHL,96.77,0.9677,2023-12-07,12.4112,-0.7363,0.6427,-0.0727,0.1389,1.0,0.0,0.0,0.1667,-0.1637,-31.29,-41.02,-46.21,Small Cap
3,BEAR,SAREGAMA,96.51,0.9651,2023-12-07,20.7671,2.1823,0.7561,0.0333,1.2415,1.0,0.0,0.5417,0.0,0.5417,-29.28,-38.79,-44.07,Small Cap
4,BEAR,TRIVENI,96.42,0.9642,2023-12-07,18.1922,-1.5403,0.8072,-0.0711,1.169,1.0,0.0,0.0,0.0,0.0,-28.48,-37.82,-43.09,Small Cap
5,BEAR,ETHOSLTD,95.55,0.9555,2023-12-07,40.5632,0.6454,0.9979,-0.0104,-0.2338,1.0,0.0,0.0,0.0,0.0,-24.05,-32.43,-37.52,Small Cap
6,BEAR,STARCEMENT,95.37,0.9537,2023-12-07,15.0032,0.9837,0.7911,-0.0191,1.789,1.0,0.0,0.0,0.0,0.0,-23.67,-31.92,-37.0,Small Cap
7,BEAR,CREDITACC,95.02,0.9502,2023-12-07,40.4935,0.449,0.9323,-0.061,0.0462,1.0,0.0,0.4,0.0,0.4,-22.33,-30.24,-35.16,Small Cap
8,BEAR,SUPRAJIT,94.94,0.9494,2023-12-07,17.4076,-1.5889,0.7397,-0.0828,0.5713,1.0,0.0,0.0,0.0,0.0,-22.05,-29.86,-34.76,Small Cap
9,BEAR,MANORAMA,94.5,0.945,2023-12-07,17.6519,-2.2707,0.867,-0.1065,-0.2093,1.0,0.0,0.0,0.0,0.0,-20.78,-28.19,-32.95,Small Cap
10,BEAR,SYNGENE,94.41,0.9441,2023-12-07,16.5886,0.9668,0.7417,-0.0351,0.9384,1.0,0.0,0.0,0.0,0.0,-20.56,-27.89,-32.62,Small Cap
