rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,LICI,92.72,0.9272,2023-12-07,44.4446,8.632,1.0,0.1749,1.1063,1.0,0.0,0.4,0.0,0.4,39.45,60.19,80.71,Large Cap
2,BULL,GVT&D,91.49,0.9149,2023-12-07,15.2503,2.0536,0.7948,-0.0719,0.527,1.0,0.0,0.0,0.0,0.0,36.13,55.18,74.01,Large Cap
3,BULL,MARUTI,89.92,0.8992,2023-12-07,19.0896,2.7798,0.7911,-0.0546,0.698,1.0,0.0,0.0,0.0,0.0,27.31,41.89,55.85,Large Cap
4,BULL,PFC,86.85,0.8685,2023-12-07,62.5406,11.6157,0.952,0.2977,1.7187,1.0,0.0,0.0,0.0,0.0,20.86,32.28,42.73,Large Cap
5,BULL,HAL,85.11,0.8511,2023-12-07,53.2019,10.0719,1.0,0.2131,1.4117,1.0,0.0,0.4,0.0,0.4,19.09,29.59,39.15,Large Cap
6,BULL,IDEA,82.8,0.828,2023-12-07,28.5486,-1.0929,0.7766,-0.1112,1.2493,1.0,0.0,0.0,0.1167,-0.1167,16.21,25.25,33.33,Large Cap
7,BULL,ADANIPORTS,81.13,0.8113,2023-12-07,30.7603,8.1203,1.0,0.1904,2.0304,1.0,0.0,0.2667,0.0,0.2667,14.65,22.88,30.17,Large Cap
8,BULL,COALINDIA,77.74,0.7774,2023-12-07,57.8371,6.7641,0.9742,-0.0034,0.9793,1.0,0.0,0.0,0.0,0.0,12.09,19.0,25.01,Large Cap
9,BULL,ADANIGREEN,77.33,0.7733,2023-12-07,39.4221,11.257,1.0,0.367,2.3703,1.0,0.0,0.1333,0.0,0.1333,11.66,18.35,24.17,Large Cap
10,BULL,ITC,74.68,0.7468,2023-12-07,22.1051,3.9551,0.8973,0.01,0.7087,1.0,0.0,0.0,0.0,0.0,10.15,16.06,21.17,Large Cap
