rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,INDIANHUME,100.0,1.0,2023-12-07,19.105,4.2305,0.7728,0.0763,1.9441,1.0,0.0,0.9333,0.0,0.9333,34061.94,49979.07,50766.37,Micro Cap
2,BULL,NRBBEARING,97.02,0.9702,2023-12-07,17.9747,3.0279,0.6741,0.0549,1.1092,1.0,0.0,0.8,0.0,0.8,83.7,130.35,175.0,Micro Cap
3,BULL,WALCHANNAG,96.08,0.9608,2023-12-07,46.6747,1.2231,0.8031,-0.0455,0.7927,1.0,0.0,0.4333,0.0,0.4333,67.93,104.53,141.92,Micro Cap
4,BULL,DOLPHIN,96.04,0.9604,2023-12-07,62.5406,11.6157,1.0,0.2524,0.1695,1.0,0.0,0.4,0.0667,0.3333,63.45,97.63,132.0,Micro Cap
5,BULL,NELCAST,95.95,0.9595,2023-12-07,60.7768,1.5905,0.6246,-0.0255,0.0874,1.0,0.0,0.5333,0.0,0.5333,59.92,92.0,124.49,Micro Cap
6,BULL,WANBURY,95.87,0.9587,2023-12-07,62.5406,11.6157,0.9442,0.2066,0.2112,1.0,0.0,0.5333,0.0,0.5333,56.99,87.31,118.12,Micro Cap
7,BULL,PARAGMILK,95.62,0.9562,2023-12-07,22.432,2.9118,0.792,0.1052,1.0676,1.0,0.0,0.5333,0.0,0.5333,54.59,83.44,112.81,Micro Cap
8,BULL,UNITECH,95.54,0.9554,2023-12-07,62.5406,11.6157,1.0,0.367,1.7337,1.0,0.0,0.4,0.0,0.4,52.56,80.26,108.46,Micro Cap
9,BULL,63MOONS,95.54,0.9554,2023-12-07,58.4527,11.6157,1.0,0.367,1.6476,1.0,0.0,0.4,0.0,0.4,50.66,77.41,104.51,Micro Cap
10,BULL,INDOTECH,95.28,0.9528,2023-12-07,35.5069,3.8997,0.6449,0.0118,0.7557,1.0,0.0,0.8,0.0,0.8,49.12,75.0,100.91,Micro Cap
