rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,PRESTIGE,92.89,0.9289,2023-12-07,62.5406,7.6093,1.0,0.2138,0.7711,1.0,0.0,0.5333,0.0,0.5333,40.21,61.35,82.33,Mid Cap
2,BULL,GLENMARK,92.22,0.9222,2023-12-07,13.0761,2.905,0.7198,0.0098,1.007,1.0,0.0,0.9333,0.0,0.9333,38.72,59.09,79.23,Mid Cap
3,BULL,ENDURANCE,90.32,0.9032,2023-12-07,24.9681,-0.7605,0.921,-0.0619,0.8847,1.0,0.0,0.5333,0.0,0.5333,29.02,44.46,59.41,Mid Cap
4,BULL,SCHAEFFLER,90.08,0.9008,2023-12-07,25.6414,3.744,0.5733,0.0495,1.0814,1.0,0.0,0.0,0.0,0.0,28.44,43.55,58.14,Mid Cap
5,BULL,YESBANK,89.34,0.8934,2023-12-07,38.1437,5.1709,0.9122,0.0855,1.2048,1.0,0.0,0.0,0.0,0.0,25.18,38.69,51.47,Mid Cap
6,BULL,GICRE,88.09,0.8809,2023-12-07,53.3234,6.2672,1.0,0.2352,0.8216,1.0,0.0,0.0,0.0,0.0,23.22,35.79,47.5,Mid Cap
7,BULL,MCX,87.35,0.8735,2023-12-07,56.2865,6.2713,0.9853,0.156,0.4297,1.0,0.0,0.0,0.0,0.0,21.59,33.36,44.2,Mid Cap
8,BULL,RECLTD,86.93,0.8693,2023-12-07,50.1034,7.9778,0.9836,0.1806,1.5369,1.0,0.0,0.0,0.0,0.0,21.0,32.5,43.01,Mid Cap
9,BULL,NYKAA,85.78,0.8578,2023-12-07,44.5608,5.0505,0.9217,0.1097,0.7209,1.0,0.0,0.0,0.0,0.0,19.94,30.87,40.83,Mid Cap
10,BULL,PATANJALI,85.11,0.8511,2023-12-07,26.8438,3.135,1.0,0.0599,1.559,1.0,0.0,0.1333,0.0,0.1333,19.21,29.76,39.39,Mid Cap
