rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,V2RETAIL,97.19,0.9719,2023-12-07,39.6116,3.7217,0.6808,0.0224,0.1463,1.0,0.0,0.6667,0.0,0.6667,103.49,165.64,219.31,Small Cap
2,BULL,CEATLTD,96.78,0.9678,2023-12-07,29.934,3.6325,0.7105,0.0471,0.6425,1.0,0.0,0.5333,0.0,0.5333,74.07,114.73,155.12,Small Cap
3,BULL,SUNFLAG,94.21,0.9421,2023-12-07,22.8808,4.2755,0.7605,0.1005,2.3703,1.0,0.0,0.8,0.0,0.8,43.96,67.09,90.0,Small Cap
4,BULL,ANGELONE,93.63,0.9363,2023-12-07,62.5406,4.519,0.9592,0.1151,0.3962,1.0,0.0,0.5333,0.0,0.5333,41.97,64.01,85.81,Small Cap
5,BULL,CUPID,92.14,0.9214,2023-12-07,51.1196,4.1251,0.9347,0.2031,1.3291,1.0,0.0,0.6667,0.0,0.6667,37.36,57.07,76.47,Small Cap
6,BULL,NUVOCO,91.57,0.9157,2023-12-07,26.912,3.6173,0.7054,0.033,0.6484,1.0,0.0,0.0,0.0,0.0,36.73,56.1,75.16,Small Cap
7,BULL,ASHAPURMIN,91.48,0.9148,2023-12-07,33.5895,10.219,0.7953,0.324,1.6424,1.0,0.0,0.5333,0.0,0.5333,35.55,54.33,72.85,Small Cap
8,BULL,ANURAS,91.41,0.9141,2023-12-07,44.731,6.07,0.8322,0.0693,0.9046,1.0,0.0,0.0,0.0,0.0,35.02,53.54,71.76,Small Cap
9,BULL,HMT,90.91,0.9091,2023-12-07,21.9511,-0.5751,0.5709,-0.0916,0.1352,1.0,0.0,0.0,0.0,0.0,33.11,50.61,67.75,Small Cap
10,BULL,JAIBALAJI,90.83,0.9083,2023-12-07,17.7261,-0.728,0.7785,-0.0864,0.4765,1.0,0.0,0.0,0.0,0.0,32.65,50.0,66.81,Small Cap
