rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,EICHERMOT,99.1,0.991,2023-12-07,43.5546,6.514,0.9934,0.0565,1.4188,1.0,0.0,0.4,0.0,0.4,-29.28,-38.79,-44.07,Large Cap
2,BEAR,ULTRACEMCO,98.11,0.9811,2023-12-07,32.7617,4.3122,1.0,0.0067,1.0992,1.0,0.0,0.0,0.0,0.0,-23.31,-31.47,-36.5,Large Cap
3,BEAR,VBL,95.58,0.9558,2023-12-07,37.2627,2.9936,0.9348,0.0359,0.4858,1.0,0.0,0.2667,0.0,0.2667,-17.5,-23.8,-27.96,Large Cap
4,BEAR,APOLLOHOSP,95.31,0.9531,2023-12-07,35.7843,2.8817,0.988,0.003,0.9052,1.0,0.0,0.2667,0.0,0.2667,-17.1,-23.29,-27.35,Large Cap
5,BEAR,DLF,94.5,0.945,2023-12-07,41.4477,4.6094,0.8112,-0.0489,1.4948,1.0,0.0,0.0,0.0,0.0,-16.05,-21.87,-25.72,Large Cap
6,BEAR,HDFCLIFE,93.69,0.9369,2023-12-07,30.9393,4.5527,0.9131,0.0094,0.683,1.0,0.0,0.5333,0.0,0.5333,-15.15,-20.64,-24.31,Large Cap
7,BEAR,SHRIRAMFIN,93.6,0.936,2023-12-07,23.8022,1.0012,0.7783,-0.0529,1.6171,1.0,0.0,0.0,0.0,0.0,-15.07,-20.52,-24.16,Large Cap
8,BEAR,HINDZINC,93.15,0.9315,2023-12-07,24.5921,5.3286,0.7971,0.0059,1.241,1.0,0.0,0.0,0.0,0.0,-14.62,-19.92,-23.46,Large Cap
9,BEAR,TORNTPHARM,91.34,0.9134,2023-12-07,39.7639,2.3165,0.9025,-0.0197,0.2288,1.0,0.0,0.0,0.0,0.0,-13.07,-17.85,-21.05,Large Cap
10,BEAR,DIVISLAB,91.25,0.9125,2023-12-07,29.0255,3.7182,0.8038,0.0006,0.7842,1.0,0.0,0.2667,0.0,0.2667,-13.01,-17.76,-20.95,Large Cap
