rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,DALMIASUG,100.0,1.0,2023-12-07,22.689,-2.826,0.9032,-0.1426,1.4356,1.0,0.0,0.0,0.0,0.0,-99.72,-99.15,-99.15,Micro Cap
2,BEAR,NOCIL,99.91,0.9991,2023-12-07,26.3233,3.3667,0.9361,0.0614,1.1621,1.0,0.0,0.0,0.0,0.0,-50.15,-58.82,-63.76,Micro Cap
3,BEAR,APCOTEXIND,99.82,0.9982,2023-12-07,26.9262,1.4888,0.8317,-0.007,0.3593,1.0,0.0,0.0,0.0,0.0,-44.67,-53.78,-58.0,Micro Cap
4,BEAR,BOMDYEING,99.73,0.9973,2023-12-07,20.6475,-0.5368,0.7121,-0.0626,1.2128,1.0,0.0,0.0,0.0583,-0.0583,-40.82,-50.43,-54.71,Micro Cap
5,BEAR,BHARATRAS,99.64,0.9964,2023-12-07,30.613,3.2205,0.8633,0.0148,0.4291,1.0,0.0,0.0,0.0,0.0,-37.95,-47.76,-52.34,Micro Cap
6,BEAR,AYMSYNTEX,99.37,0.9937,2023-12-07,40.9081,-0.1971,0.8866,-0.0472,1.1864,1.0,0.0,0.0,0.1667,-0.1637,-32.53,-42.36,-47.49,Micro Cap
7,BEAR,WINDLAS,99.28,0.9928,2023-12-07,40.1273,2.6837,0.8098,0.0481,0.761,1.0,0.0,0.0,0.0,0.0,-31.29,-41.02,-46.21,Micro Cap
8,BEAR,DHAMPURSUG,99.19,0.9919,2023-12-07,17.0434,-1.3272,0.6473,-0.0757,1.5162,1.0,0.0,0.0,0.1333,-0.1333,-30.2,-39.85,-45.1,Micro Cap
9,BEAR,KOLTEPATIL,98.92,0.9892,2023-12-07,14.8779,1.1118,0.7761,-0.0455,1.7579,1.0,0.0,0.0,0.0,0.0,-27.75,-36.96,-42.24,Micro Cap
10,BEAR,HINDWAREAP,98.83,0.9883,2023-12-07,27.1078,1.9345,0.8923,0.0401,1.2322,1.0,0.0,0.0,0.0,0.0,-27.08,-36.15,-41.43,Micro Cap
