rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,GLAXO,99.01,0.9901,2023-12-07,40.1812,5.8348,0.9206,0.1141,1.1009,1.0,0.0,0.0,0.0,0.0,-28.48,-37.82,-43.09,Mid Cap
2,BEAR,IPCALAB,98.29,0.9829,2023-12-07,36.7115,4.9387,0.9927,0.0501,0.2709,1.0,0.0,0.0,0.0,0.0,-24.05,-32.43,-37.52,Mid Cap
3,BEAR,FEDERALBNK,97.66,0.9766,2023-12-07,23.9569,2.3298,0.8721,-0.0426,1.0878,1.0,0.0,0.0,0.0,0.0,-21.77,-29.5,-34.37,Mid Cap
4,BEAR,PAGEIND,96.84,0.9684,2023-12-07,12.9725,0.3584,0.7659,-0.0321,0.2609,1.0,0.0,0.0,0.0,0.0,-19.75,-26.8,-31.39,Mid Cap
5,BEAR,ICICIGI,96.39,0.9639,2023-12-07,38.0414,2.2303,0.9556,-0.0272,0.6974,1.0,0.0,0.0,0.0,0.0,-18.85,-25.6,-30.04,Mid Cap
6,BEAR,FLUOROCHEM,96.21,0.9621,2023-12-07,18.672,2.3151,0.7748,0.0041,0.5182,1.0,0.0,0.0,0.0,0.0,-18.52,-25.16,-29.54,Mid Cap
7,BEAR,SRF,92.97,0.9297,2023-12-07,29.3204,2.4794,0.8142,-0.0252,1.2448,1.0,0.0,0.0,0.0,0.0,-14.44,-19.69,-23.19,Mid Cap
8,BEAR,BERGEPAINT,92.79,0.9279,2023-12-07,17.4638,1.3559,0.6263,-0.0278,0.744,1.0,0.0,0.0,0.0,0.0,-14.28,-19.47,-22.93,Mid Cap
9,BEAR,NH,92.34,0.9234,2023-12-07,41.4577,3.1024,0.886,0.0507,1.0398,1.0,0.0,0.0,0.0,0.0,-13.88,-18.94,-22.31,Mid Cap
10,BEAR,RADICO,91.7,0.917,2023-12-07,48.8921,3.7206,1.0,0.1159,1.3994,1.0,0.0,0.0,0.0,0.0,-13.36,-18.23,-21.5,Mid Cap
