rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,SAREGAMA,99.55,0.9955,2023-12-07,20.7671,2.1823,0.7561,0.0333,1.2415,1.0,0.0,0.5417,0.0,0.5417,-35.71,-45.61,-50.38,Small Cap
2,BEAR,TRIVENI,99.46,0.9946,2023-12-07,18.1922,-1.5403,0.8072,-0.0711,1.169,1.0,0.0,0.0,0.0,0.0,-33.92,-43.87,-48.86,Small Cap
3,BEAR,ETHOSLTD,98.56,0.9856,2023-12-07,40.5632,0.6454,0.9979,-0.0104,-0.2338,1.0,0.0,0.0,0.0,0.0,-25.39,-34.09,-39.32,Small Cap
4,BEAR,SAFARI,98.47,0.9847,2023-12-07,17.6382,-1.4676,0.7438,-0.1007,0.4298,1.0,0.0,0.0,0.0833,-0.0833,-24.93,-33.49,-38.66,Small Cap
5,BEAR,STARCEMENT,98.38,0.9838,2023-12-07,15.0032,0.9837,0.7911,-0.0191,1.789,1.0,0.0,0.0,0.0,0.0,-24.48,-32.95,-38.07,Small Cap
6,BEAR,CREDITACC,98.02,0.9802,2023-12-07,40.4935,0.449,0.9323,-0.061,0.0462,1.0,0.0,0.4,0.0,0.4,-22.97,-31.04,-36.03,Small Cap
7,BEAR,SUPRAJIT,97.93,0.9793,2023-12-07,17.4076,-1.5889,0.7397,-0.0828,0.5713,1.0,0.0,0.0,0.0,0.0,-22.64,-30.63,-35.6,Small Cap
8,BEAR,MANORAMA,97.48,0.9748,2023-12-07,17.6519,-2.2707,0.867,-0.1065,-0.2093,1.0,0.0,0.0,0.0,0.0,-21.26,-28.82,-33.62,Small Cap
9,BEAR,SYNGENE,97.39,0.9739,2023-12-07,16.5886,0.9668,0.7417,-0.0351,0.9384,1.0,0.0,0.0,0.0,0.0,-21.02,-28.51,-33.31,Small Cap
10,BEAR,ZYDUSWELL,97.2,0.972,2023-12-07,10.113,1.2543,0.7571,0.0177,0.5086,1.0,0.0,0.0,0.0,0.0,-20.56,-27.89,-32.62,Small Cap
