rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,GVT&D,99.64,0.9964,2023-12-07,15.2503,2.0536,0.7948,-0.0719,0.527,1.0,0.0,0.0,0.0,0.0,67.93,104.53,141.92,Large Cap
2,BULL,MARUTI,97.93,0.9793,2023-12-07,19.0896,2.7798,0.7911,-0.0546,0.698,1.0,0.0,0.0,0.0,0.0,37.36,57.07,76.47,Large Cap
3,BULL,LICI,96.21,0.9621,2023-12-07,44.4446,8.632,1.0,0.1749,1.1063,1.0,0.0,0.4,0.0,0.4,29.02,44.46,59.41,Large Cap
4,BULL,PFC,94.59,0.9459,2023-12-07,62.5406,11.6157,0.952,0.2977,1.7187,1.0,0.0,0.0,0.0,0.0,24.56,37.77,50.19,Large Cap
5,BULL,IDEA,90.17,0.9017,2023-12-07,28.5486,-1.0929,0.7766,-0.1112,1.2493,1.0,0.0,0.0,0.1167,-0.1167,17.69,27.49,36.33,Large Cap
6,BULL,HAL,87.92,0.8792,2023-12-07,53.2019,10.0719,1.0,0.2131,1.4117,1.0,0.0,0.4,0.0,0.4,15.48,24.14,31.85,Large Cap
7,BULL,ADANIPORTS,84.76,0.8476,2023-12-07,30.7603,8.1203,1.0,0.1904,2.0304,1.0,0.0,0.2667,0.0,0.2667,13.08,20.48,26.99,Large Cap
8,BULL,COALINDIA,84.67,0.8467,2023-12-07,57.8371,6.7641,0.9742,-0.0034,0.9793,1.0,0.0,0.0,0.0,0.0,13.02,20.39,26.87,Large Cap
9,BULL,ADANIGREEN,83.68,0.8368,2023-12-07,39.4221,11.257,1.0,0.367,2.3703,1.0,0.0,0.1333,0.0,0.1333,12.37,19.43,25.57,Large Cap
10,BULL,ITC,81.33,0.8133,2023-12-07,22.1051,3.9551,0.8973,0.01,0.7087,1.0,0.0,0.0,0.0,0.0,11.0,17.35,22.86,Large Cap
