rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,ASALCBR,100.0,1.0,2023-12-07,20.7871,-0.2983,0.7337,-0.0165,0.783,1.0,0.0,0.2667,0.0,0.2667,34061.94,49979.07,50766.37,Micro Cap
2,BULL,UNITECH,99.91,0.9991,2023-12-07,62.5406,11.6157,1.0,0.367,1.7337,1.0,0.0,0.4,0.0,0.4,103.49,165.64,219.31,Micro Cap
3,BULL,DOLPHIN,99.82,0.9982,2023-12-07,62.5406,11.6157,1.0,0.2524,0.1695,1.0,0.0,0.4,0.0667,0.3333,83.7,130.35,175.0,Micro Cap
4,BULL,63MOONS,99.28,0.9928,2023-12-07,58.4527,11.6157,1.0,0.367,1.6476,1.0,0.0,0.4,0.0,0.4,54.59,83.44,112.81,Micro Cap
5,BULL,NELCAST,99.19,0.9919,2023-12-07,60.7768,1.5905,0.6246,-0.0255,0.0874,1.0,0.0,0.5333,0.0,0.5333,52.56,80.26,108.46,Micro Cap
6,BULL,WALCHANNAG,99.1,0.991,2023-12-07,46.6747,1.2231,0.8031,-0.0455,0.7927,1.0,0.0,0.4333,0.0,0.4333,50.66,77.41,104.51,Micro Cap
7,BULL,SIMPLEXINF,98.56,0.9856,2023-12-07,48.0043,8.5529,0.5248,0.1069,-0.2021,1.0,0.0,0.0,0.0,0.0,42.92,65.53,87.85,Micro Cap
8,BULL,WANBURY,98.47,0.9847,2023-12-07,62.5406,11.6157,0.9442,0.2066,0.2112,1.0,0.0,0.5333,0.0,0.5333,41.97,64.01,85.81,Micro Cap
9,BULL,MAYURUNIQ,98.38,0.9838,2023-12-07,19.0904,0.1048,0.8131,-0.0357,0.3746,1.0,0.0,0.0,0.0,0.0,41.06,62.6,83.99,Micro Cap
10,BULL,TAJGVK,98.29,0.9829,2023-12-07,22.3232,0.4767,0.6919,-0.028,0.7591,1.0,0.0,0.0,0.0,0.0,40.21,61.35,82.33,Micro Cap
