rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,SCHAEFFLER,98.11,0.9811,2023-12-07,25.6414,3.744,0.5733,0.0495,1.0814,1.0,0.0,0.0,0.0,0.0,38.72,59.09,79.23,Mid Cap
2,BULL,YESBANK,97.29,0.9729,2023-12-07,38.1437,5.1709,0.9122,0.0855,1.2048,1.0,0.0,0.0,0.0,0.0,33.55,51.31,68.68,Mid Cap
3,BULL,GICRE,95.94,0.9594,2023-12-07,53.3234,6.2672,1.0,0.2352,0.8216,1.0,0.0,0.0,0.0,0.0,28.14,43.12,57.55,Mid Cap
4,BULL,PRESTIGE,95.22,0.9522,2023-12-07,62.5406,7.6093,1.0,0.2138,0.7711,1.0,0.0,0.5333,0.0,0.5333,26.07,40.01,53.3,Mid Cap
5,BULL,MCX,95.13,0.9513,2023-12-07,56.2865,6.2713,0.9853,0.156,0.4297,1.0,0.0,0.0,0.0,0.0,25.84,39.68,52.82,Mid Cap
6,BULL,RECLTD,94.68,0.9468,2023-12-07,50.1034,7.9778,0.9836,0.1806,1.5369,1.0,0.0,0.0,0.0,0.0,24.76,38.06,50.62,Mid Cap
7,BULL,NYKAA,93.42,0.9342,2023-12-07,44.5608,5.0505,0.9217,0.1097,0.7209,1.0,0.0,0.0,0.0,0.0,22.21,34.29,45.45,Mid Cap
8,BULL,ENDURANCE,92.43,0.9243,2023-12-07,24.9681,-0.7605,0.921,-0.0619,0.8847,1.0,0.0,0.5333,0.0,0.5333,20.59,31.86,42.17,Mid Cap
9,BULL,PATANJALI,92.16,0.9216,2023-12-07,26.8438,3.135,1.0,0.0599,1.559,1.0,0.0,0.1333,0.0,0.1333,20.19,31.26,41.35,Mid Cap
10,BULL,MAZDOCK,91.43,0.9143,2023-12-07,17.1942,1.884,0.5428,-0.0135,1.5407,1.0,0.0,0.1333,0.0,0.1333,19.21,29.76,39.39,Mid Cap
