rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,NUVOCO,99.73,0.9973,2023-12-07,26.912,3.6173,0.7054,0.033,0.6484,1.0,0.0,0.0,0.0,0.0,74.07,114.73,155.12,Small Cap
2,BULL,ANURAS,99.55,0.9955,2023-12-07,44.731,6.07,0.8322,0.0693,0.9046,1.0,0.0,0.0,0.0,0.0,63.45,97.63,132.0,Small Cap
3,BULL,CEATLTD,99.46,0.9946,2023-12-07,29.934,3.6325,0.7105,0.0471,0.6425,1.0,0.0,0.5333,0.0,0.5333,59.92,92.0,124.49,Small Cap
4,BULL,V2RETAIL,99.37,0.9937,2023-12-07,39.6116,3.7217,0.6808,0.0224,0.1463,1.0,0.0,0.6667,0.0,0.6667,56.99,87.31,118.12,Small Cap
5,BULL,HMT,99.01,0.9901,2023-12-07,21.9511,-0.5751,0.5709,-0.0916,0.1352,1.0,0.0,0.0,0.0,0.0,49.12,75.0,100.91,Small Cap
6,BULL,JAIBALAJI,98.92,0.9892,2023-12-07,17.7261,-0.728,0.7785,-0.0864,0.4765,1.0,0.0,0.0,0.0,0.0,47.64,72.73,97.87,Small Cap
7,BULL,DCBBANK,98.83,0.9883,2023-12-07,15.118,2.9714,0.6937,-0.0098,1.1111,1.0,0.0,0.0,0.0333,-0.0333,46.31,70.63,95.07,Small Cap
8,BULL,DIACABS,98.74,0.9874,2023-12-07,53.5266,11.6157,0.4551,0.3358,2.3703,1.0,0.0,0.0,0.1667,-0.1637,45.1,68.77,92.42,Small Cap
9,BULL,KEC,98.65,0.9865,2023-12-07,18.3233,3.8351,0.7219,0.0424,0.6071,1.0,0.0,0.0,0.0,0.0,43.96,67.09,90.0,Small Cap
10,BULL,RBLBANK,97.48,0.9748,2023-12-07,15.0386,2.8458,0.8381,0.0197,2.1016,1.0,0.0,0.0,0.0,0.0,34.51,52.78,70.64,Small Cap
