rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,YESBANK,100.0,1.0,2023-12-07,38.1437,5.1709,0.9122,0.0855,1.2048,1.0,0.0,0.0,0.0,0.0,-99.72,-99.15,-99.15,Mid Cap
2,BEAR,SUNDARMFIN,99.82,0.9982,2023-12-07,18.3889,0.1742,0.8774,-0.071,0.763,1.0,0.0,0.0,0.0,0.0,-44.67,-53.78,-58.0,Mid Cap
3,BEAR,BDL,99.01,0.9901,2023-12-07,36.8932,6.7727,0.8842,0.142,0.9436,1.0,0.0,0.0,0.0,0.0,-28.48,-37.82,-43.09,Mid Cap
4,BEAR,MPHASIS,97.84,0.9784,2023-12-07,20.5736,3.3623,0.777,0.0181,0.9487,1.0,0.0,0.1333,0.0,0.1333,-22.05,-29.86,-34.76,Mid Cap
5,BEAR,MFSL,97.39,0.9739,2023-12-07,29.2308,4.9425,0.872,0.0446,1.2484,1.0,0.0,0.0,0.0,0.0,-20.56,-27.89,-32.62,Mid Cap
6,BEAR,BHARATFORG,96.66,0.9666,2023-12-07,32.7541,4.7954,0.8301,0.0019,1.2595,1.0,0.0,0.0,0.0,0.0,-19.02,-25.82,-30.29,Mid Cap
7,BEAR,ZYDUSLIFE,96.12,0.9612,2023-12-07,35.8992,4.8621,0.8372,0.0271,0.6404,1.0,0.0,0.0,0.0,0.0,-18.06,-24.57,-28.83,Mid Cap
8,BEAR,LAURUSLABS,95.85,0.9585,2023-12-07,21.1801,2.2938,0.675,-0.0167,1.0087,1.0,0.0,0.0,0.0,0.0,-17.5,-23.8,-27.96,Mid Cap
9,BEAR,UBL,95.67,0.9567,2023-12-07,26.5073,4.1537,0.858,0.0298,0.6535,1.0,0.0,0.0,0.0,0.0,-17.24,-23.45,-27.55,Mid Cap
10,BEAR,NYKAA,94.95,0.9495,2023-12-07,44.5608,5.0505,0.9217,0.1097,0.7209,1.0,0.0,0.0,0.0,0.0,-16.39,-22.31,-26.24,Mid Cap
