rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,BSE,91.22,0.9122,2023-12-07,41.8648,4.0912,0.9238,0.1241,0.7696,1.0,0.0,0.5333,0.0,0.5333,42.92,65.53,87.85,Large Cap
2,BULL,IRFC,83.64,0.8364,2023-12-07,17.0266,1.7991,0.4551,-0.0255,1.708,1.0,0.0,0.0,0.0,0.0,18.31,28.41,37.57,Large Cap
3,BULL,VBL,77.83,0.7783,2023-12-07,37.2627,2.9936,0.9348,0.0359,0.4858,1.0,0.0,0.2667,0.0,0.2667,12.84,20.12,26.51,Large Cap
4,BULL,SOLARINDS,77.11,0.7711,2023-12-07,40.7531,1.2059,0.9005,0.0004,0.018,1.0,0.0,0.0,0.0,0.0,12.26,19.26,25.34,Large Cap
5,BULL,TRENT,74.93,0.7493,2023-12-07,62.5406,6.6843,0.9493,0.121,0.4357,1.0,0.0,0.0,0.0,0.0,11.14,17.58,23.15,Large Cap
6,BULL,ADANIPORTS,74.44,0.7444,2023-12-07,30.7603,8.1203,1.0,0.1904,2.0304,1.0,0.0,0.2667,0.0,0.2667,10.76,16.98,22.37,Large Cap
7,BULL,ADANIGREEN,73.88,0.7388,2023-12-07,39.4221,11.257,1.0,0.367,2.3703,1.0,0.0,0.1333,0.0,0.1333,10.47,16.55,21.81,Large Cap
8,BULL,DIVISLAB,71.86,0.7186,2023-12-07,29.0255,3.7182,0.8038,0.0006,0.7842,1.0,0.0,0.2667,0.0,0.2667,9.63,15.26,20.12,Large Cap
9,BULL,DLF,70.5,0.705,2023-12-07,41.4477,4.6094,0.8112,-0.0489,1.4948,1.0,0.0,0.0,0.0,0.0,8.81,14.02,18.47,Large Cap
10,BULL,MARICO,66.46,0.6646,2023-12-07,19.5683,1.0176,0.6613,-0.0299,0.1405,1.0,0.0,0.0,0.0,0.0,7.06,11.37,14.99,Large Cap
