rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,SMSPHARMA,98.53,0.9853,2023-12-07,25.7724,-0.8126,0.6948,-0.0809,0.6276,1.0,0.0,0.75,0.0,0.75,103.49,165.64,219.31,Micro Cap
2,BULL,EKC,96.7,0.967,2023-12-07,29.6409,2.2827,0.8826,0.0226,1.6521,1.0,0.0,0.8667,0.0,0.8667,74.07,114.73,155.12,Micro Cap
3,BULL,ELECTCAST,95.89,0.9589,2023-12-07,43.3356,3.8476,0.9337,0.0927,1.1565,1.0,0.0,0.9333,0.0,0.9333,67.93,104.53,141.92,Micro Cap
4,BULL,IOLCP,95.44,0.9544,2023-12-07,19.3918,0.8375,0.4912,-0.0345,1.6695,1.0,0.0,0.5417,0.0,0.5417,59.92,92.0,124.49,Micro Cap
5,BULL,MUNJALAU,94.6,0.946,2023-12-07,52.3583,8.3957,0.969,0.367,1.8325,1.0,0.0,0.9333,0.0,0.9333,54.59,83.44,112.81,Micro Cap
6,BULL,DOLPHIN,93.48,0.9348,2023-12-07,62.5406,11.6157,1.0,0.2524,0.1695,1.0,0.0,0.4,0.0667,0.3333,52.56,80.26,108.46,Micro Cap
7,BULL,EMUDHRA,92.95,0.9295,2023-12-07,10.1851,-0.8816,0.5493,-0.0864,0.5329,1.0,0.0,0.2333,0.0,0.2333,49.12,75.0,100.91,Micro Cap
8,BULL,BEPL,92.83,0.9283,2023-12-07,17.2737,2.5658,0.8598,0.0234,0.8262,1.0,0.0,0.6667,0.0,0.6667,47.64,72.73,97.87,Micro Cap
9,BULL,THOMASCOOK,90.13,0.9013,2023-12-07,30.8229,1.4984,0.9889,0.0327,1.827,1.0,0.0,0.4333,0.0583,0.375,39.45,60.19,80.71,Micro Cap
10,BULL,ESTER,90.03,0.9003,2023-12-07,29.9902,0.6049,0.8543,-0.0079,1.0654,1.0,0.0,0.1167,0.0,0.1167,38.72,59.09,79.23,Micro Cap
