rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,BBTC,100.0,1.0,2023-12-07,36.9283,-1.3096,0.7552,-0.0605,-0.0161,1.0,0.0,0.9333,0.0,0.9333,34061.94,49979.07,50766.37,Small Cap
2,BULL,ISGEC,97.1,0.971,2023-12-07,45.9814,7.0813,0.9554,0.175,1.1546,1.0,0.0,0.9333,0.0,0.9333,83.7,130.35,175.0,Small Cap
3,BULL,SJS,95.75,0.9575,2023-12-07,22.4221,-2.9335,0.6901,-0.1298,1.0327,1.0,0.0,0.5833,0.0,0.5833,63.45,97.63,132.0,Small Cap
4,BULL,WELCORP,94.68,0.9468,2023-12-07,42.7935,4.3323,0.933,0.0684,1.6951,1.0,0.0,0.8,0.0,0.8,56.99,87.31,118.12,Small Cap
5,BULL,SAREGAMA,93.18,0.9318,2023-12-07,20.7671,2.1823,0.7561,0.0333,1.2415,1.0,0.0,0.5417,0.0,0.5417,50.66,77.41,104.51,Small Cap
6,BULL,SHARDAMOTR,92.67,0.9267,2023-12-07,43.2088,4.6312,1.0,0.1807,1.4607,1.0,0.0,0.7583,0.1167,0.6417,46.31,70.63,95.07,Small Cap
7,BULL,TANLA,91.86,0.9186,2023-12-07,13.5252,-0.912,0.4962,-0.0836,0.841,1.0,0.0,0.6667,0.0,0.6667,45.1,68.77,92.42,Small Cap
8,BULL,WELSPUNLIV,91.02,0.9102,2023-12-07,35.3282,1.106,0.7831,0.0058,1.5474,1.0,0.0,0.4333,0.0,0.4333,41.97,64.01,85.81,Small Cap
9,BULL,CLEAN,90.33,0.9033,2023-12-07,25.8401,1.8059,0.9235,-0.0104,0.5284,1.0,0.0,0.2667,0.0,0.2667,41.06,62.6,83.99,Small Cap
10,BULL,SIS,89.61,0.8961,2023-12-07,24.3602,3.7882,0.8436,0.0389,0.7777,1.0,0.0,0.4,0.0,0.4,36.73,56.1,75.16,Small Cap
