rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,POWERINDIA,98.2,0.982,2023-12-07,28.4064,1.7664,0.912,-0.1009,1.1158,1.0,0.0,0.0,0.0,0.0,-23.67,-31.92,-37.0,Large Cap
2,BEAR,INDUSTOWER,98.11,0.9811,2023-12-07,23.0547,1.5778,0.6996,-0.0212,0.96,1.0,0.0,0.0,0.0,0.0,-23.31,-31.47,-36.5,Large Cap
3,BEAR,HINDALCO,97.57,0.9757,2023-12-07,33.5774,3.0034,0.8183,-0.033,1.2284,1.0,0.0,0.0,0.0,0.0,-21.5,-29.16,-34.0,Large Cap
4,BEAR,TCS,96.84,0.9684,2023-12-07,22.097,5.1494,0.8409,0.0037,0.7376,1.0,0.0,0.0,0.0,0.0,-19.75,-26.8,-31.39,Large Cap
5,BEAR,SBILIFE,95.13,0.9513,2023-12-07,38.5085,4.1561,0.9357,0.0057,0.9304,1.0,0.0,0.0,0.0,0.0,-16.85,-22.95,-26.97,Large Cap
6,BEAR,BAJAJFINSV,94.41,0.9441,2023-12-07,19.1596,4.5121,0.819,0.0055,0.8509,1.0,0.0,0.0,0.0,0.0,-15.95,-21.72,-25.56,Large Cap
7,BEAR,PIDILITIND,94.32,0.9432,2023-12-07,42.4495,3.6088,0.9254,-0.0075,0.6421,1.0,0.0,0.0,0.0,0.0,-15.84,-21.58,-25.39,Large Cap
8,BEAR,DMART,94.05,0.9405,2023-12-07,43.5888,5.8766,0.9804,0.1111,0.285,1.0,0.0,0.0,0.0,0.0,-15.54,-21.17,-24.92,Large Cap
9,BEAR,KOTAKBANK,93.6,0.936,2023-12-07,25.4163,3.0576,0.8872,-0.0491,1.104,1.0,0.0,0.0,0.0,0.0,-15.07,-20.52,-24.16,Large Cap
10,BEAR,MARUTI,93.51,0.9351,2023-12-07,19.0896,2.7798,0.7911,-0.0546,0.698,1.0,0.0,0.0,0.0,0.0,-14.98,-20.4,-24.02,Large Cap
