rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,ROLEXRINGS,99.73,0.9973,2023-12-07,21.7736,1.1571,1.0,-0.0323,1.183,1.0,0.0,0.0,0.0,0.0,-40.82,-50.43,-54.71,Micro Cap
2,BEAR,SAGCEM,99.37,0.9937,2023-12-07,30.3717,1.3654,0.9479,-0.0015,1.3532,1.0,0.0,0.0,0.0,0.0,-32.53,-42.36,-47.49,Micro Cap
3,BEAR,DCW,99.28,0.9928,2023-12-07,13.7726,0.7928,0.6001,-0.0292,1.9144,1.0,0.0,0.0,0.0,0.0,-31.29,-41.02,-46.21,Micro Cap
4,BEAR,DOLLAR,98.56,0.9856,2023-12-07,14.9472,-0.2739,0.6696,-0.0475,1.1307,1.0,0.0,0.0,0.0,0.0,-25.39,-34.09,-39.32,Micro Cap
5,BEAR,RAMASTEEL,98.29,0.9829,2023-12-07,14.7896,1.4116,0.8391,0.0238,1.5239,1.0,0.0,0.1333,0.0,0.1333,-24.05,-32.43,-37.52,Micro Cap
6,BEAR,KITEX,97.93,0.9793,2023-12-07,15.0641,2.966,0.7033,0.0363,1.2516,1.0,0.0,0.0,0.0,0.0,-22.64,-30.63,-35.6,Micro Cap
7,BEAR,TNPL,97.66,0.9766,2023-12-07,14.0574,-0.9033,0.7327,-0.0591,0.8778,1.0,0.0,0.0,0.0,0.0,-21.77,-29.5,-34.37,Micro Cap
8,BEAR,CONFIPET,97.48,0.9748,2023-12-07,26.4855,2.1646,0.9412,-0.0652,1.2867,1.0,0.0,0.0,0.0,0.0,-21.26,-28.82,-33.62,Micro Cap
9,BEAR,KCP,97.29,0.9729,2023-12-07,30.4032,2.1305,0.7541,0.0187,1.673,1.0,0.0,0.0,0.0,0.0,-20.78,-28.19,-32.95,Micro Cap
10,BEAR,UFBL,97.2,0.972,2023-12-07,35.229,1.8891,0.7799,0.024,1.1368,1.0,0.0,0.0,0.0,0.0,-20.56,-27.89,-32.62,Micro Cap
