rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BEAR,SPARC,99.91,0.9991,2023-12-07,42.5173,4.9302,0.9432,0.1246,0.689,1.0,0.0,0.0,0.0,0.0,-50.15,-58.82,-63.76,Small Cap
2,BEAR,GRANULES,99.64,0.9964,2023-12-07,36.5383,3.9295,0.981,0.0503,0.5266,1.0,0.0,0.0,0.0,0.0,-37.95,-47.76,-52.34,Small Cap
3,BEAR,IRB,99.55,0.9955,2023-12-07,38.5106,2.5678,0.7879,0.0193,1.1273,1.0,0.0,0.0,0.0,0.0,-35.71,-45.61,-50.38,Small Cap
4,BEAR,GALLANTT,99.46,0.9946,2023-12-07,37.2054,1.5772,0.5789,-0.0026,1.2626,1.0,0.0,0.0,0.0,0.0,-33.92,-43.87,-48.86,Small Cap
5,BEAR,ASTRAZEN,99.19,0.9919,2023-12-07,31.863,0.9127,0.8135,-0.0374,0.6978,1.0,0.0,0.0,0.0,0.0,-30.2,-39.85,-45.1,Small Cap
6,BEAR,UCOBANK,99.1,0.991,2023-12-07,13.9759,1.7774,0.4704,-0.0069,1.9104,1.0,0.0,0.0,0.0,0.0,-29.28,-38.79,-44.07,Small Cap
7,BEAR,ZEEL,98.92,0.9892,2023-12-07,12.434,0.9522,0.9796,-0.009,0.5944,1.0,0.0,0.0,0.0,0.0,-27.75,-36.96,-42.24,Small Cap
8,BEAR,ABFRL,98.83,0.9883,2023-12-07,23.857,3.1771,0.8973,0.0488,1.1557,1.0,0.0,0.0,0.0,0.0,-27.08,-36.15,-41.43,Small Cap
9,BEAR,CHAMBLFERT,98.74,0.9874,2023-12-07,40.1913,7.9382,0.9916,0.1442,1.5398,1.0,0.0,0.0,0.0,0.0,-26.46,-35.42,-40.66,Small Cap
10,BEAR,GARFIBRES,98.65,0.9865,2023-12-07,21.2349,2.9768,0.9933,0.0404,0.0572,1.0,0.0,0.0,0.0,0.0,-25.92,-34.73,-39.98,Small Cap
