rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,BSE,96.03,0.9603,2023-12-07,41.8648,4.0912,0.9238,0.1241,0.7696,1.0,0.0,0.5333,0.0,0.5333,28.44,43.55,58.14,Large Cap
2,BULL,IRFC,93.51,0.9351,2023-12-07,17.0266,1.7991,0.4551,-0.0255,1.708,1.0,0.0,0.0,0.0,0.0,22.37,34.52,45.77,Large Cap
3,BULL,SOLARINDS,86.2,0.862,2023-12-07,40.7531,1.2059,0.9005,0.0004,0.018,1.0,0.0,0.0,0.0,0.0,14.09,22.03,29.05,Large Cap
4,BULL,TRENT,83.77,0.8377,2023-12-07,62.5406,6.6843,0.9493,0.121,0.4357,1.0,0.0,0.0,0.0,0.0,12.43,19.51,25.68,Large Cap
5,BULL,VBL,83.41,0.8341,2023-12-07,37.2627,2.9936,0.9348,0.0359,0.4858,1.0,0.0,0.2667,0.0,0.2667,12.2,19.18,25.23,Large Cap
6,BULL,ADANIGREEN,82.06,0.8206,2023-12-07,39.4221,11.257,1.0,0.367,2.3703,1.0,0.0,0.1333,0.0,0.1333,11.4,17.96,23.65,Large Cap
7,BULL,ADANIPORTS,79.62,0.7962,2023-12-07,30.7603,8.1203,1.0,0.1904,2.0304,1.0,0.0,0.2667,0.0,0.2667,10.1,15.99,21.08,Large Cap
8,BULL,DLF,78.81,0.7881,2023-12-07,41.4477,4.6094,0.8112,-0.0489,1.4948,1.0,0.0,0.0,0.0,0.0,9.71,15.39,20.29,Large Cap
9,BULL,DIVISLAB,76.74,0.7674,2023-12-07,29.0255,3.7182,0.8038,0.0006,0.7842,1.0,0.0,0.2667,0.0,0.2667,8.77,13.96,18.39,Large Cap
10,BULL,MARICO,74.3,0.743,2023-12-07,19.5683,1.0176,0.6613,-0.0299,0.1405,1.0,0.0,0.0,0.0,0.0,7.75,12.43,16.37,Large Cap
