rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,AMRUTANJAN,99.91,0.9991,2023-12-07,12.5731,-0.9921,0.7775,-0.0779,0.4761,1.0,0.0,0.0,0.0,0.0,103.49,165.64,219.31,Micro Cap
2,BULL,JINDALPOLY,99.82,0.9982,2023-12-07,13.6113,-0.7332,0.5242,-0.0558,0.7052,1.0,0.0,0.0,0.1667,-0.1637,83.7,130.35,175.0,Micro Cap
3,BULL,DOLPHIN,99.73,0.9973,2023-12-07,62.5406,11.6157,1.0,0.2524,0.1695,1.0,0.0,0.4,0.0667,0.3333,74.07,114.73,155.12,Micro Cap
4,BULL,NACLIND,99.46,0.9946,2023-12-07,14.4014,-0.4777,0.8126,-0.0713,0.273,1.0,0.0,0.0,0.0,0.0,59.92,92.0,124.49,Micro Cap
5,BULL,TCIEXP,99.37,0.9937,2023-12-07,26.8586,2.1697,0.7337,-0.0289,0.5673,1.0,0.0,0.0,0.0,0.0,56.99,87.31,118.12,Micro Cap
6,BULL,EMUDHRA,99.19,0.9919,2023-12-07,10.1851,-0.8816,0.5493,-0.0864,0.5329,1.0,0.0,0.2333,0.0,0.2333,52.56,80.26,108.46,Micro Cap
7,BULL,FUSION,99.1,0.991,2023-12-07,14.2924,0.0499,0.6994,-0.075,0.9807,1.0,0.0,0.0,0.0,0.0,50.66,77.41,104.51,Micro Cap
8,BULL,ROSSARI,99.01,0.9901,2023-12-07,29.2562,5.1429,0.9187,0.0907,0.9231,1.0,0.0,0.0,0.0,0.0,49.12,75.0,100.91,Micro Cap
9,BULL,SMSPHARMA,98.92,0.9892,2023-12-07,25.7724,-0.8126,0.6948,-0.0809,0.6276,1.0,0.0,0.75,0.0,0.75,47.64,72.73,97.87,Micro Cap
10,BULL,IOLCP,98.83,0.9883,2023-12-07,19.3918,0.8375,0.4912,-0.0345,1.6695,1.0,0.0,0.5417,0.0,0.5417,46.31,70.63,95.07,Micro Cap
