rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,ABCAPITAL,97.11,0.9711,2023-12-07,20.6551,-1.602,0.8795,-0.1203,1.6091,1.0,0.0,0.0,0.0,0.0,32.65,50.0,66.81,Mid Cap
2,BULL,SUZLON,95.85,0.9585,2023-12-07,36.8379,0.8583,0.9239,-0.117,0.4088,1.0,0.0,0.5417,0.0,0.5417,27.86,42.7,56.95,Mid Cap
3,BULL,PAYTM,92.88,0.9288,2023-12-07,19.8845,-4.1606,0.9757,-0.2177,1.3489,1.0,0.0,0.0,0.0,0.0,21.29,32.93,43.61,Mid Cap
4,BULL,IPCALAB,92.7,0.927,2023-12-07,36.7115,4.9387,0.9927,0.0501,0.2709,1.0,0.0,0.0,0.0,0.0,21.0,32.5,43.01,Mid Cap
5,BULL,APARINDS,90.89,0.9089,2023-12-07,17.1432,1.609,0.8097,-0.0137,0.4776,1.0,0.0,0.5417,0.0,0.5417,18.53,28.73,38.0,Mid Cap
6,BULL,ATGL,90.26,0.9026,2023-12-07,51.1677,11.6157,1.0,0.367,2.3703,1.0,0.0,0.9333,0.0,0.9333,17.79,27.64,36.54,Mid Cap
7,BULL,POLICYBZR,89.99,0.8999,2023-12-07,43.3873,4.1319,0.9973,0.0812,0.562,1.0,0.0,0.4,0.0,0.4,17.49,27.18,35.92,Mid Cap
8,BULL,HEROMOTOCO,88.46,0.8846,2023-12-07,46.2992,8.3206,0.9432,0.0897,1.1347,1.0,0.0,0.5333,0.0,0.5333,15.96,24.88,32.82,Mid Cap
9,BULL,FLUOROCHEM,84.31,0.8431,2023-12-07,18.672,2.3151,0.7748,0.0041,0.5182,1.0,0.0,0.0,0.0,0.0,12.78,20.03,26.39,Mid Cap
10,BULL,NMDC,83.5,0.835,2023-12-07,42.3151,4.6573,0.8807,0.0254,1.1041,1.0,0.0,0.5333,0.0,0.5333,12.26,19.26,25.34,Mid Cap
