rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct,cap_tier
1,BULL,NAZARA,100.0,1.0,2023-12-07,9.9514,-2.3067,0.4599,-0.0964,0.1904,1.0,0.0,0.0,0.0,0.0,34061.94,49979.07,50766.37,Small Cap
2,BULL,APLLTD,99.64,0.9964,2023-12-07,29.6397,1.1372,0.8438,-0.021,1.0173,1.0,0.0,0.0,0.0,0.0,67.93,104.53,141.92,Small Cap
3,BULL,PARAS,99.55,0.9955,2023-12-07,11.8513,-0.0813,0.4756,-0.0767,1.365,1.0,0.0,0.0,0.0,0.0,63.45,97.63,132.0,Small Cap
4,BULL,SFL,99.28,0.9928,2023-12-07,19.1421,2.7965,0.7374,0.0348,0.4705,1.0,0.0,0.0,0.0,0.0,54.59,83.44,112.81,Small Cap
5,BULL,BBTC,98.56,0.9856,2023-12-07,36.9283,-1.3096,0.7552,-0.0605,-0.0161,1.0,0.0,0.9333,0.0,0.9333,42.92,65.53,87.85,Small Cap
6,BULL,AAVAS,98.38,0.9838,2023-12-07,17.8309,1.0125,0.7899,-0.0479,0.017,1.0,0.0,0.0,0.1667,-0.1637,41.06,62.6,83.99,Small Cap
7,BULL,MANORAMA,98.02,0.9802,2023-12-07,17.6519,-2.2707,0.867,-0.1065,-0.2093,1.0,0.0,0.0,0.0,0.0,38.02,58.08,77.83,Small Cap
8,BULL,ISGEC,97.84,0.9784,2023-12-07,45.9814,7.0813,0.9554,0.175,1.1546,1.0,0.0,0.9333,0.0,0.9333,36.73,56.1,75.16,Small Cap
9,BULL,SJS,97.75,0.9775,2023-12-07,22.4221,-2.9335,0.6901,-0.1298,1.0327,1.0,0.0,0.5833,0.0,0.5833,36.13,55.18,74.01,Small Cap
10,BULL,SAREGAMA,97.57,0.9757,2023-12-07,20.7671,2.1823,0.7561,0.0333,1.2415,1.0,0.0,0.5417,0.0,0.5417,35.02,53.54,71.76,Small Cap
