rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
1,BULL,ATGL,20.0,0.9026,2023-12-07,51.1677,11.6157,1.0,0.367,2.3703,1.0,0.0,0.9333,0.0,0.9333,17.79,27.64,36.54
2,BULL,KIRIINDUS,20.0,0.4238,2023-12-07,45.5667,2.4591,0.9302,0.0086,0.3613,1.0,0.0,0.2167,0.0,0.2167,-1.1,-1.01,-0.99
3,BULL,ASTEC,20.0,0.3336,2023-12-07,28.4029,-1.246,0.7378,-0.0954,1.0364,1.0,0.0,0.1667,0.0,0.1667,-3.31,-4.23,-5.0
4,BULL,PCJEWELLER,20.0,0.3147,2023-12-07,19.7706,-0.3779,0.7187,-0.0539,1.0045,1.0,0.0,0.1083,0.0,0.1083,-3.81,-4.94,-5.86
5,BULL,GRMOVER,20.0,0.2588,2023-12-07,10.5957,-1.5746,0.6463,-0.0698,1.1141,1.0,0.0,0.0583,0.0,0.0583,-5.38,-7.2,-8.57
1,BEAR,VMART,5.0,0.899,2023-12-07,26.5418,2.2469,0.7635,0.0279,0.6122,1.0,0.0,0.0,0.0,0.0,-12.05,-16.47,-19.45
2,BEAR,GRMOVER,5.0,0.7412,2023-12-07,10.5957,-1.5746,0.6463,-0.0698,1.1141,1.0,0.0,0.0583,0.0,0.0583,-5.41,-7.24,-8.61
3,BEAR,PCJEWELLER,5.0,0.6853,2023-12-07,19.7706,-0.3779,0.7187,-0.0539,1.0045,1.0,0.0,0.1083,0.0,0.1083,-3.83,-4.98,-5.9
4,BEAR,ASTEC,5.0,0.6664,2023-12-07,28.4029,-1.246,0.7378,-0.0954,1.0364,1.0,0.0,0.1667,0.0,0.1667,-3.33,-4.26,-5.04
5,BEAR,KIRIINDUS,5.0,0.5762,2023-12-07,45.5667,2.4591,0.9302,0.0086,0.3613,1.0,0.0,0.2167,0.0,0.2167,-1.13,-1.04,-1.03
6,BEAR,INDOTHAI,5.0,0.5564,2023-12-07,18.384,3.0173,0.9703,0.0621,1.1705,1.0,0.0,0.0,0.0,0.0,-0.66,-0.35,-0.16
7,BEAR,AWL,5.0,0.5014,2023-12-07,36.2035,6.3957,0.9979,0.2538,1.4863,1.0,0.0,0.0,0.0,0.0,0.49,1.43,2.12
8,BEAR,NIITLTD,5.0,0.266,2023-12-07,12.2009,-1.2548,0.4565,-0.0671,1.4503,1.0,0.0,0.0,0.0,0.0,7.37,11.84,15.6
9,BEAR,RAJRILTD,5.0,0.2543,2023-12-07,53.9195,-4.1606,0.6659,-0.1989,0.0817,1.0,0.0,0.0,0.1667,-0.1637,7.83,12.53,16.51
10,BEAR,DELTACORP,5.0,0.2263,2023-12-07,17.6669,-0.6421,0.7841,-0.0643,0.8181,1.0,0.0,0.0,0.1667,-0.1637,9.01,14.32,18.87
11,BEAR,CAMPUS,5.0,0.1425,2023-12-07,17.5046,1.2647,0.8977,-0.0022,0.9675,1.0,0.0,0.0,0.0,0.0,13.7,21.43,28.25
12,BEAR,SILVERTUC,5.0,0.1163,2023-12-07,36.22,3.5812,0.8844,0.0977,1.2154,1.0,0.0,0.0,0.0,0.0,15.79,24.62,32.49
13,BEAR,ATGL,5.0,0.0974,2023-12-07,51.1677,11.6157,1.0,0.367,2.3703,1.0,0.0,0.9333,0.0,0.9333,17.69,27.49,36.33
14,BEAR,EASEMYTRIP,5.0,0.0784,2023-12-07,12.339,-4.1606,0.5894,-0.1709,0.8072,1.0,0.0,0.0,0.0,0.0,20.06,31.07,41.09
15,BEAR,IBULLSLTD,5.0,0.0622,2023-12-07,16.6563,0.7168,0.9736,-0.0573,1.0988,1.0,0.0,0.0,0.0,0.0,22.7,35.02,46.44
16,BEAR,STEELXIND,5.0,0.0586,2023-12-07,16.1474,2.3463,0.57,0.056,1.8714,1.0,0.0,0.0,0.0,0.0,23.4,36.06,47.87
17,BEAR,POLYPLEX,5.0,0.0487,2023-12-07,15.5021,-0.6438,0.845,-0.0756,0.7919,1.0,0.0,0.0,0.0,0.0,25.61,39.34,52.37
18,BEAR,BCG,5.0,0.0361,2023-12-07,10.2063,3.8605,0.735,0.0931,0.4105,1.0,0.0,0.0,0.0,0.0,29.34,44.94,60.04
19,BEAR,RAJESHEXPO,5.0,0.0307,2023-12-07,57.9331,-4.1606,0.8008,-0.2177,0.0074,1.0,0.0,0.0,0.0,0.0,31.44,48.11,64.3
20,BEAR,BSHSL,5.0,0.018,2023-12-07,20.2299,-0.0231,0.7034,-0.0296,0.3195,1.0,0.0,0.0,0.0,0.0,38.72,59.09,79.23
