Ticker,Price Oct 23 (Rs),Price Apr 23 (Rs),% Difference,,,,,,,,,,,,
INOXWIND.NS,50.74,149.93,195.49,,,,,,,,,,,,
GVT&D.NS,373.52,1030.93,176,,,,,,,,,,,,
HUDCO.NS,68.79,187.38,172.38,,,,,,,,,,,,
HINDCOPPER.NS,140.74,368.49,161.82,,,,,,,,,,,,
COCHINSHIP.NS,475.9,1235.85,159.69,,,,,,,,,,,,
SOBHA.NS,717.12,1709.46,138.38,,,,,,,,,,,,
SWSOLAR.NS,265.25,632,138.27,,,,,,,,,,,,
MRPL.NS,92.42,217.73,135.59,,,,,,,,,,,,
SCHNEIDER.NS,312.35,733.15,134.72,,,,,,,,,,,,
SIGNATURE.NS,529.15,1215.1,129.63,,,,,,,,,,,,
BHEL.NS,117.4,259.39,120.93,,,,,,,,,,,,
TATAINVEST.NS,310.78,678.68,118.38,,,,,,,,,,,,
IFCI.NS,21.3,46.1,116.43,,,,,,,,,,,,
EIHOTEL.NS,215.4,464.93,115.84,,,,,,,,,,,,
IRB.NS,15.77,33.78,114.19,,,,,,,,,,,,
ACE.NS,711.5,1501.96,111.1,,,,,,,,,,,,
ANANDRATHI.NS,927.68,1958.01,111.06,,,,,,,,,,,,
TORNTPOWER.NS,696.42,1463.97,110.21,,,,,,,,,,,,
NATIONALUM.NS,80.3,167.98,109.2,,,,,,,,,,,,
TRENT.NS,1988.86,4151.85,108.76,,,,,,,,,,,,
HAL.NS,1792.71,3714.58,107.2,,,,,,,,,,,,
IRFC.NS,69,142.73,106.86,,,,,,,,,,,,
NUVAMA.NS,406.69,840.85,106.75,,,,,,,,,,,,
ADANIGREEN.NS,880.8,1816.4,106.22,,,,,,,,,,,,
JPPOWER.NS,8.85,18.25,106.21,,,,,,,,,,,,
INDUSTOWER.NS,177.8,359.5,102.19,,,,,,,,,,,,
IOC.NS,75.33,151.33,100.89,,,,,,,,,,,,
HINDPETRO.NS,151.33,301.82,99.44,,,,,,,,,,,,
BDL.NS,478.62,953.76,99.27,,,,,,,,,,,,
NETWEB.NS,836.65,1654.08,97.7,,,,,,,,,,,,
OIL.NS,188.93,372.96,97.41,,,,,,,,,,,,
SJVN.NS,63.41,124.83,96.86,,,,,,,,,,,,
JUBLPHARMA.NS,354.91,678.44,91.16,,,,,,,,,,,,
PNB.NS,66.9,127.6,90.74,,,,,,,,,,,,
ADANIPOWER.NS,63.29,120.49,90.38,,,,,,,,,,,,
ARE&M.NS,601.25,1138.88,89.42,,,,,,,,,,,,
JIOFIN.NS,206.28,387.35,87.78,,,,,,,,,,,,
BSE.NS,564.15,1057.43,87.44,,,,,,,,,,,,
CUMMINSIND.NS,1644.58,3079.14,87.23,,,,,,,,,,,,
POWERINDIA.NS,4311.58,8068.32,87.13,,,,,,,,,,,,
OFSS.NS,3638.91,6795.84,86.75,,,,,,,,,,,,
TECHNOE.NS,501.39,936.28,86.74,,,,,,,,,,,,
MEDANTA.NS,749.68,1397.85,86.46,,,,,,,,,,,,
SAIL.NS,81.05,149.21,84.1,,,,,,,,,,,,
EXIDEIND.NS,249.31,457.35,83.44,,,,,,,,,,,,
VEDL.NS,174.94,320.18,83.02,,,,,,,,,,,,
MCX.NS,440.28,800.31,81.77,,,,,,,,,,,,
NLCINDIA.NS,123.38,223.53,81.18,,,,,,,,,,,,
BPCL.NS,145.97,264.43,81.16,,,,,,,,,,,,
ABREL.NS,1058.47,1912.65,80.7,,,,,,,,,,,,
NHPC.NS,47.4,85.53,80.45,,,,,,,,,,,,
TATAPOWER.NS,235.76,425.17,80.34,,,,,,,,,,,,
RAILTEL.NS,210.82,379.57,80.05,,,,,,,,,,,,
CHENNPETRO.NS,489.42,872.95,78.36,,,,,,,,,,,,
BEL.NS,129.79,230.91,77.91,,,,,,,,,,,,
KIRLOSENG.NS,525.39,929.57,76.93,,,,,,,,,,,,
RVNL.NS,155.83,273.98,75.82,,,,,,,,,,,,
PHOENIXLTD.NS,898.17,1578.42,75.74,,,,,,,,,,,,
GPPL.NS,108.59,188.05,73.17,,,,,,,,,,,,
CESC.NS,77.46,133.66,72.54,,,,,,,,,,,,
PRESTIGE.NS,744.83,1284.74,72.49,,,,,,,,,,,,
ADANIPORTS.NS,764.44,1310.08,71.38,,,,,,,,,,,,
BEML.NS,1015.77,1738.45,71.15,,,,,,,,,,,,
IOB.NS,37.15,63.35,70.52,,,,,,,,,,,,
GAIL.NS,108.83,185.49,70.44,,,,,,,,,,,,
NCC.NS,142.43,242.53,70.28,,,,,,,,,,,,
POLICYBZR.NS,700.4,1191.65,70.14,,,,,,,,,,,,
VOLTAS.NS,813.77,1382.86,69.93,,,,,,,,,,,,
CANBK.NS,66.84,113.09,69.2,,,,,,,,,,,,
PFC.NS,219.13,369.13,68.45,,,,,,,,,,,,
ZYDUSLIFE.NS,562.49,946.22,68.22,,,,,,,,,,,,
KPIL.NS,691.55,1162.53,68.11,,,,,,,,,,,,
SIEMENS.NS,1989.52,3331.64,67.46,,,,,,,,,,,,
SOLARINDS.NS,5164.98,8630.88,67.1,,,,,,,,,,,,
BRIGADE.NS,599.21,998.06,66.56,,,,,,,,,,,,
DLF.NS,526.07,873.83,66.1,,,,,,,,,,,,
BLUESTARCO.NS,875.15,1444.59,65.07,,,,,,,,,,,,
ENGINERSIN.NS,121.13,199.76,64.91,,,,,,,,,,,,
