rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
1,BULL,APOLLOTYRE.NS,8.33,0.0833,2023-12-08,40.1159,4.8737,0.9892,0.0382,0.6846,0.0,0.0,0.8,0.0,0.8,16.35,25.43,33.71
2,BULL,NTPC.NS,8.33,0.0833,2023-12-08,50.3883,7.6722,1.0,0.1129,0.6038,0.0,0.0,0.6667,0.0,0.6667,16.35,25.43,33.71
3,BULL,BASF.NS,8.33,0.0833,2023-12-08,55.2844,4.8963,0.8412,0.0509,-0.1672,0.0,0.0,0.6667,0.0,0.6667,16.35,25.43,33.71
4,BULL,PFC.NS,8.33,0.0833,2023-12-08,63.8402,8.8942,0.9602,0.2978,0.4234,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
5,BULL,NIACL.NS,8.33,0.0833,2023-12-08,56.5015,7.6619,0.9793,0.2978,0.6033,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
6,BULL,INDIANB.NS,8.33,0.0833,2023-12-08,12.4671,0.2874,0.7798,-0.0634,1.5352,0.0,0.0,0.6667,0.0,0.6667,16.35,25.43,33.71
7,BULL,CUB.NS,8.33,0.0833,2023-12-08,38.2421,4.6927,0.9062,0.0401,2.0304,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
8,BULL,INDIGO.NS,8.33,0.0833,2023-12-08,36.6803,5.2151,1.0,0.0443,0.8035,0.0,0.0,0.1333,0.0,0.1333,16.35,25.43,33.71
9,BULL,BHEL.NS,8.33,0.0833,2023-12-08,43.5225,8.8942,0.9862,0.2708,0.2592,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
10,BULL,BRIGADE.NS,8.33,0.0833,2023-12-08,63.8402,3.9468,0.9651,0.096,0.3494,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
11,BULL,ITI.NS,8.33,0.0833,2023-12-08,27.1588,1.5081,0.7056,0.0068,2.8623,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
12,BULL,ICICIGI.NS,8.33,0.0833,2023-12-08,38.144,2.7129,0.9194,-0.0151,0.9752,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
