rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
1,BULL,APOLLOTYRE.NS,8.33,0.0833,2023-12-08,40.1159,4.8737,0.9892,0.0382,0.6846,0.0,0.0,0.8,0.0,0.8,16.35,25.43,33.71
2,BULL,NTPC.NS,8.33,0.0833,2023-12-08,50.3883,7.6722,1.0,0.1129,0.6038,0.0,0.0,0.6667,0.0,0.6667,16.35,25.43,33.71
3,BULL,BASF.NS,8.33,0.0833,2023-12-08,55.2844,4.8963,0.8412,0.0509,-0.1672,0.0,0.0,0.6667,0.0,0.6667,16.35,25.43,33.71
4,BULL,PFC.NS,8.33,0.0833,2023-12-08,63.8402,8.8942,0.9602,0.2978,0.4234,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
5,BULL,NIACL.NS,8.33,0.0833,2023-12-08,56.5015,7.6619,0.9793,0.2978,0.6033,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
6,BULL,INDIANB.NS,8.33,0.0833,2023-12-08,12.4671,0.2874,0.7798,-0.0634,1.5352,0.0,0.0,0.6667,0.0,0.6667,16.35,25.43,33.71
7,BULL,CUB.NS,8.33,0.0833,2023-12-08,38.2421,4.6927,0.9062,0.0401,2.0304,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
8,BULL,INDIGO.NS,8.33,0.0833,2023-12-08,36.6803,5.2151,1.0,0.0443,0.8035,0.0,0.0,0.1333,0.0,0.1333,16.35,25.43,33.71
9,BULL,BHEL.NS,8.33,0.0833,2023-12-08,43.5225,8.8942,0.9862,0.2708,0.2592,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
10,BULL,BRIGADE.NS,8.33,0.0833,2023-12-08,63.8402,3.9468,0.9651,0.096,0.3494,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
11,BULL,ITI.NS,8.33,0.0833,2023-12-08,27.1588,1.5081,0.7056,0.0068,2.8623,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
12,BULL,ICICIGI.NS,8.33,0.0833,2023-12-08,38.144,2.7129,0.9194,-0.0151,0.9752,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
1,BEAR,RAJESHEXPO.NS,8.33,1.0,2023-12-08,57.6062,-3.5604,0.7751,-0.1727,0.7842,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
2,BEAR,WHIRLPOOL.NS,8.33,0.9984,2023-12-08,52.7029,-3.5604,0.9418,-0.1727,0.5104,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
3,BEAR,AAVAS.NS,8.33,0.9615,2023-12-08,18.0476,1.095,0.8267,-0.0402,-0.2089,0.0,0.0,0.0,0.148,-0.1333,16.35,25.43,33.71
4,BEAR,PAYTM.NS,8.33,0.9574,2023-12-08,23.5986,-3.5604,0.9865,-0.1727,2.2796,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
5,BEAR,EASEMYTRIP.NS,8.33,0.9507,2023-12-08,11.9799,-3.5604,0.5712,-0.1727,0.9171,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
6,BEAR,VIPIND.NS,8.33,0.9458,2023-12-08,14.8104,-0.8516,0.5674,-0.0954,0.352,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
7,BEAR,SKFINDIA.NS,8.33,0.9421,2023-12-08,19.7599,-3.4833,0.7834,-0.1598,0.2498,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
8,BEAR,ABCAPITAL.NS,8.33,0.9392,2023-12-08,21.9661,-2.3619,0.9057,-0.1408,2.0188,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
9,BEAR,HONAUT.NS,8.33,0.9331,2023-12-08,32.789,-2.1418,0.6723,-0.1072,0.5125,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
10,BEAR,PAGEIND.NS,8.33,0.9095,2023-12-08,12.0861,-0.6334,0.7601,-0.0854,0.2051,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
11,BEAR,CAMPUS.NS,8.33,0.9081,2023-12-08,16.4966,0.8573,0.9041,-0.0474,0.4551,0.0,0.0,0.0,0.0,0.0,16.35,25.43,33.71
12,BEAR,BIOCON.NS,8.33,0.9005,2023-12-08,20.4361,2.6135,0.7011,-0.0208,1.0562,0.0,0.0,0.0583,0.0,0.0583,16.35,25.43,33.71
