rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BEAR,CLEAN.NS,8.33,0.9208,2023-12-08,26.3059,1.2035,0.9086,-0.0419,0.3816,0.0,0.0,0.2667,0.0,0.2667
2,BEAR,EIDPARRY.NS,8.33,0.9188,2023-12-08,24.6905,2.2539,1.0,0.0132,1.092,0.0,0.0,0.0,0.0,0.0
3,BEAR,JUBLPHARMA.NS,8.33,0.9167,2023-12-08,35.3923,4.2439,0.8085,0.092,-0.0846,0.0,0.0,0.5333,0.0,0.5333
4,BEAR,BANDHANBNK.NS,8.33,0.9127,2023-12-08,33.9684,3.7775,0.7412,0.0134,0.5979,0.0,0.0,0.2667,0.0,0.2667
5,BEAR,REDINGTON.NS,8.33,0.9106,2023-12-08,36.0907,4.1472,0.8251,0.0322,-0.0811,0.0,0.0,0.0,0.0,0.0
6,BEAR,ICICIPRULI.NS,8.33,0.9065,2023-12-08,28.0939,1.0159,0.7492,-0.0488,1.2913,0.0,0.0,0.0,0.0,0.0
7,BEAR,BAJFINANCE.NS,8.33,0.9004,2023-12-08,24.2671,-1.0548,0.7537,-0.0936,1.0444,0.0,0.0,0.3333,0.0,0.3333
8,BEAR,INFY.NS,8.33,0.8943,2023-12-08,22.6553,4.8895,0.7303,-0.0034,0.4154,0.0,0.0,0.0,0.0,0.0
9,BEAR,WIPRO.NS,8.33,0.8923,2023-12-08,25.5291,5.7982,0.9217,0.0275,0.8967,0.0,0.0,0.0,0.0,0.0
10,BEAR,HEG.NS,8.33,0.8841,2023-12-08,25.9994,1.0092,0.7822,-0.0386,0.0333,0.0,0.0,0.8,0.0,0.8
11,BEAR,MASTEK.NS,8.33,0.878,2023-12-08,15.4071,1.8168,0.7381,-0.0209,0.2543,0.0,0.0,0.0,0.0,0.0
12,BEAR,VTL.NS,8.33,0.8638,2023-12-08,31.7399,2.154,0.874,0.0043,0.2989,0.0,0.0,0.0,0.0,0.0
