rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,INDIANB.NS,8.33,0.0833,2023-12-08,12.4671,0.2874,0.7798,-0.0634,1.5352,0.0,0.0,0.6667,0.0,0.6667
2,BULL,SUZLON.NS,8.33,0.0833,2023-12-08,35.3613,0.6889,0.91,-0.0375,-0.1542,0.0,0.0,0.5417,0.0,0.5417
3,BULL,ANANTRAJ.NS,8.33,0.0833,2023-12-08,41.6656,3.9449,0.8625,0.0471,1.7077,0.0,0.0,0.5333,0.0,0.5333
4,BULL,MOTHERSON.NS,8.33,0.0833,2023-12-08,25.8266,1.0195,0.8546,-0.0501,1.2802,0.0,0.0,0.2667,0.0,0.2667
5,BULL,INOXWIND.NS,8.33,0.0833,2023-12-08,48.1545,8.8942,0.9857,0.2978,0.6798,0.0,0.0,0.5333,0.0,0.5333
6,BULL,IIFL.NS,8.33,0.0833,2023-12-08,17.0272,1.0603,0.7174,-0.0393,0.4829,0.0,0.0,0.4,0.0,0.4
7,BULL,BSE.NS,8.33,0.0833,2023-12-08,40.9883,3.1848,0.8988,0.082,1.5632,0.0,0.0,0.5333,0.0,0.5333
8,BULL,PRESTIGE.NS,8.33,0.0833,2023-12-08,63.8402,7.8811,1.0,0.281,0.4171,0.0,0.0,0.5333,0.0,0.5333
9,BULL,LODHA.NS,8.33,0.0833,2023-12-08,23.8886,2.2702,0.8994,0.0098,1.4199,0.0,0.0,0.2667,0.0,0.2667
10,BULL,BASF.NS,8.33,0.0833,2023-12-08,55.2844,4.8963,0.8412,0.0509,-0.1672,0.0,0.0,0.6667,0.0,0.6667
11,BULL,MAHSEAMLES.NS,8.33,0.0833,2023-12-08,57.4618,6.0035,1.0,0.1838,0.0828,0.0,0.0,0.6667,0.0,0.6667
12,BULL,MGL.NS,8.33,0.0833,2023-12-08,23.7053,4.1932,0.7989,0.026,0.2182,0.0,0.0,0.2667,0.0,0.2667
