rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BEAR,DEVYANI.NS,8.33,1.0,2023-12-08,20.7072,0.5044,0.6412,-0.0597,0.7561,0.0,0.0,0.0833,0.148,-0.1333
2,BEAR,MMTC.NS,8.33,0.8938,2023-12-08,17.2699,2.4023,0.4937,0.0314,2.5023,0.0,0.0,0.1333,0.0,0.1333
3,BEAR,CHOLAHLDNG.NS,8.33,0.8918,2023-12-08,21.5936,-1.8323,0.8458,-0.1487,0.9722,0.0,0.0,0.0833,0.0,0.0833
4,BEAR,JUBLINGREA.NS,8.33,0.878,2023-12-08,20.4588,3.0379,0.7307,0.0117,1.0682,0.0,0.0,0.0,0.0,0.0
5,BEAR,TRIVENI.NS,8.33,0.8584,2023-12-08,19.3573,-2.2506,0.8165,-0.1698,1.7044,0.0,0.0,0.0,0.0,0.0
6,BEAR,RENUKA.NS,8.33,0.8545,2023-12-08,16.2009,-3.5604,0.6688,-0.1727,1.3863,0.0,0.0,0.0,0.1333,-0.1333
7,BEAR,CUB.NS,8.33,0.8544,2023-12-08,38.2421,4.6927,0.9062,0.0401,2.0304,0.0,0.0,0.0,0.0,0.0
8,BEAR,RADICO.NS,8.33,0.8524,2023-12-08,48.8904,2.6734,0.9944,0.0464,0.4517,0.0,0.0,0.0,0.0,0.0
9,BEAR,RAYMOND.NS,8.33,0.8465,2023-12-08,26.7101,-2.3405,0.8157,-0.159,0.6957,0.0,0.0,0.0,0.0,0.0
10,BEAR,UCOBANK.NS,8.33,0.8288,2023-12-08,14.2035,1.9744,0.4937,-0.0108,2.737,0.0,0.0,0.0,0.0,0.0
11,BEAR,ACC.NS,8.33,0.8269,2023-12-08,34.6586,5.6143,0.9787,0.0694,0.8997,0.0,0.0,0.0,0.0,0.0
12,BEAR,CROMPTON.NS,8.33,0.7816,2023-12-08,20.1785,2.9207,0.7982,-0.0152,0.2814,0.0,0.0,0.0,0.0,0.0
