rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,ATGL.NS,8.33,0.0833,2023-12-08,54.1066,8.8942,1.0,0.2978,-0.6905,0.0,0.0,0.9333,0.0,0.9333
2,BULL,CIEINDIA.NS,8.33,0.0833,2023-12-08,11.6694,0.5714,0.7777,-0.058,0.6151,0.0,0.0,0.75,0.0,0.75
3,BULL,SAREGAMA.NS,8.33,0.0833,2023-12-08,21.074,2.5033,0.7561,0.0149,0.6016,0.0,0.0,0.5417,0.0,0.5417
4,BULL,TANLA.NS,8.33,0.0833,2023-12-08,12.648,-1.5909,0.4955,-0.1144,0.9889,0.0,0.0,0.4667,0.0,0.4667
5,BULL,DEEPAKFERT.NS,8.33,0.0833,2023-12-08,23.4416,0.6713,0.809,-0.0513,0.9335,0.0,0.0,0.2667,0.0,0.2667
6,BULL,TTML.NS,8.33,0.0833,2023-12-08,18.1034,1.0516,0.7405,-0.035,2.0741,0.0,0.0,0.5417,0.0,0.5417
7,BULL,BIOCON.NS,8.33,0.0833,2023-12-08,20.4361,2.6135,0.7011,-0.0208,1.0562,0.0,0.0,0.0583,0.0,0.0583
8,BULL,ADANIGREEN.NS,8.33,0.0833,2023-12-08,41.6242,8.8099,1.0,0.2978,-0.5842,0.0,0.0,0.1333,0.0,0.1333
9,BULL,TRIDENT.NS,8.33,0.0833,2023-12-08,20.7057,-0.0554,0.5558,-0.0743,0.6435,0.0,0.0,0.0833,0.0,0.0833
10,BULL,AMBUJACEM.NS,8.33,0.0833,2023-12-08,38.2564,5.5332,1.0,0.0877,1.1256,0.0,0.0,0.2667,0.0,0.2667
11,BULL,THERMAX.NS,8.33,0.0833,2023-12-08,23.0594,-2.3314,0.7572,-0.1541,0.3929,0.0,0.0,0.4167,0.0,0.4167
12,BULL,HFCL.NS,8.33,0.0833,2023-12-08,14.5067,1.0084,0.7216,-0.0402,1.0212,0.0,0.0,0.25,0.0,0.25
