rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BEAR,STEELXIND,8.33,0.7442,2026-05-13,36.2012,2.8792,1.0,0.1395,1.5051,0.0,0.0,0.4,0.0,0.4
2,BEAR,ICICIGI,8.33,0.7423,2026-05-13,14.3967,0.4521,0.8688,-0.0223,0.6745,0.0,0.0,0.0,0.2667,-0.2667
3,BEAR,CINELINE,8.33,0.7041,2026-05-13,10.318,-0.4636,0.7422,-0.0538,0.8648,0.0,0.0,0.0,0.0,0.0
4,BEAR,CHOLAFIN,8.33,0.7008,2026-05-13,14.4961,1.2413,0.8725,0.0092,1.6464,0.0,0.0,0.0,0.5333,-0.5333
5,BEAR,CENTRALBK,8.33,0.6644,2026-05-13,13.5764,-0.2276,0.7084,-0.0405,1.3868,0.0,0.0,0.0,0.6667,-0.6667
6,BEAR,RUBYMILLS,8.33,0.6491,2026-05-13,44.6752,0.2726,0.7898,-0.0227,0.8643,0.0,0.0,0.1083,0.0,0.1083
7,BEAR,DRREDDY,8.33,0.6479,2026-05-13,21.7418,0.7741,0.9401,-0.011,0.3503,0.0,0.0,0.0,0.0,0.0
8,BEAR,SPANDANA,8.33,0.6345,2026-05-13,27.2534,4.2077,0.9901,0.1785,1.5746,0.0,0.0,0.0,0.0333,-0.0333
9,BEAR,SANDHAR,8.33,0.6249,2026-05-13,18.3926,1.4272,0.808,0.0249,1.0916,0.0,0.0,0.4333,0.0,0.4333
10,BEAR,DEEPAKNTR,8.33,0.6202,2026-05-13,43.9248,6.792,0.9669,0.1965,1.059,0.0,0.0,0.4,0.0,0.4
11,BEAR,DWARKESH,8.33,0.5983,2026-05-13,27.6703,0.3224,0.9049,-0.016,0.0482,0.0,0.0,0.0,0.0,0.0
12,BEAR,POWERGRID,8.33,0.5977,2026-05-13,25.4944,0.1711,0.7594,-0.0307,0.3149,0.0,0.0,0.0,0.0,0.0
