rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,ETERNAL,76.74,0.7674,2026-05-13,14.4125,0.1881,0.6739,-0.0278,1.4338,0.0,0.0,0.0,0.1333,-0.1333,Large Cap
2,BEAR,DLF,76.6,0.766,2026-05-13,14.1389,0.3317,0.7896,-0.0245,1.5689,0.0,0.0,0.0,0.2667,-0.2667,Large Cap
3,BEAR,CIPLA,76.49,0.7649,2026-05-13,32.6667,3.7596,1.0,0.0573,0.4939,0.0,0.0,0.5833,0.0,0.5833,Large Cap
4,BEAR,HINDUNILVR,75.72,0.7572,2026-05-13,16.5791,2.3083,0.8839,0.0292,0.7663,0.0,0.0,0.0,0.0,0.0,Large Cap
5,BEAR,TMPV,74.98,0.7498,2026-05-13,18.6179,-0.8498,0.7979,-0.0599,1.68,0.0,0.0,0.0,0.5333,-0.5333,Large Cap
6,BEAR,GAIL,70.88,0.7088,2026-05-13,21.4872,2.5567,0.7314,0.026,1.1153,0.0,0.0,0.0,0.0,0.0,Large Cap
7,BEAR,INDIGO,70.82,0.7082,2026-05-13,13.1493,-1.0684,0.7552,-0.074,1.9568,0.0,0.0,0.0,0.0,0.0,Large Cap
8,BEAR,CHOLAFIN,70.08,0.7008,2026-05-13,14.4961,1.2413,0.8725,0.0092,1.6464,0.0,0.0,0.0,0.5333,-0.5333,Large Cap
9,BEAR,BAJAJHLDNG,68.21,0.6821,2026-05-13,18.1836,0.5539,0.8106,-0.0178,1.3082,0.0,0.0,0.0,0.2667,-0.2667,Large Cap
10,BEAR,KOTAKBANK,67.16,0.6716,2026-05-13,12.8146,0.5991,0.8894,-0.0192,1.0569,0.0,0.0,0.0,0.0,0.0,Large Cap
