rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,ANDHRAPAP,100.0,1.0,2026-05-13,31.5259,0.8361,0.9164,-0.0046,0.9137,0.0,0.0,0.0,0.6667,-0.6667,Micro Cap
2,BEAR,SYMPHONY,93.67,0.9367,2026-05-13,16.1365,1.2667,0.8431,0.0106,1.2865,0.0,0.0,0.0,0.6667,-0.6667,Micro Cap
3,BEAR,AROGRANITE,92.53,0.9253,2026-05-13,29.0165,0.7711,0.7719,0.0159,1.1218,0.0,0.0,0.0,0.4333,-0.4333,Micro Cap
4,BEAR,BPL,90.58,0.9058,2026-05-13,27.403,2.2392,0.919,0.0867,1.8716,0.0,0.0,0.0,0.3333,-0.3333,Micro Cap
5,BEAR,DYNPRO,89.75,0.8975,2026-05-13,10.8055,0.1557,0.7713,-0.0263,0.8453,0.0,0.0,0.0,0.4333,-0.4333,Micro Cap
6,BEAR,UNIENTER,87.51,0.8751,2026-05-13,20.0152,0.1374,0.6809,-0.0276,1.0902,0.0,0.0,0.0,0.4333,-0.4333,Micro Cap
7,BEAR,KKCL,87.24,0.8724,2026-05-13,14.2556,-1.0239,0.8472,-0.0775,1.2653,0.0,0.0,0.0,0.4,-0.4,Micro Cap
8,BEAR,BANG,87.21,0.8721,2026-05-13,19.4317,0.9614,0.8752,0.0276,1.8272,0.0,0.0,0.0,0.4333,-0.4333,Micro Cap
9,BEAR,EKC,86.8,0.868,2026-05-13,14.4438,0.8269,0.8006,-0.0019,1.374,0.0,0.0,0.0,0.3333,-0.3333,Micro Cap
10,BEAR,ALICON,86.4,0.864,2026-05-13,29.7031,0.8546,0.8144,0.0061,1.3923,0.0,0.0,0.0,0.2667,-0.2667,Micro Cap
