rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,SHREECEM,83.63,0.8363,2026-05-13,13.1672,1.1183,0.8575,-0.0064,1.1401,0.0,0.0,0.0,0.325,-0.325,Mid Cap
2,BEAR,IRCTC,82.5,0.825,2026-05-13,15.917,-0.1232,0.7684,-0.0379,1.1212,0.0,0.0,0.0,0.2667,-0.2667,Mid Cap
3,BEAR,DIXON,79.03,0.7903,2026-05-13,13.547,1.3747,0.9483,0.0228,1.5625,0.0,0.0,0.0833,0.0,0.0833,Mid Cap
4,BEAR,LTTS,77.9,0.779,2026-05-13,24.9547,1.1379,0.7751,0.0068,0.9009,0.0,0.0,0.0,0.325,-0.325,Mid Cap
5,BEAR,UPL,76.91,0.7691,2026-05-13,12.9978,-0.6553,0.6703,-0.056,1.1261,0.0,0.0,0.1667,0.6667,-0.6667,Mid Cap
6,BEAR,COLPAL,76.7,0.767,2026-05-13,22.9733,4.3045,0.8735,0.0735,0.9784,0.0,0.0,0.0,0.2333,-0.2333,Mid Cap
7,BEAR,PIIND,75.66,0.7566,2026-05-13,15.4029,1.7325,0.7717,0.013,0.9889,0.0,0.0,0.0,0.0,0.0,Mid Cap
8,BEAR,ICICIGI,74.23,0.7423,2026-05-13,14.3967,0.4521,0.8688,-0.0223,0.6745,0.0,0.0,0.0,0.2667,-0.2667,Mid Cap
9,BEAR,BDL,70.46,0.7046,2026-05-13,23.6992,0.5654,0.8326,-0.0141,1.3229,0.0,0.0,0.0,0.0,0.0,Mid Cap
10,BEAR,RVNL,69.34,0.6934,2026-05-13,17.5835,1.378,0.7889,0.0129,1.5006,0.0,0.0,0.0,0.0,0.0,Mid Cap
