rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,IRCON,86.37,0.8637,2026-05-13,29.1589,1.7971,0.8587,0.0401,1.7294,0.0,0.0,0.0,0.2167,-0.2167,Small Cap
2,BEAR,CSBBANK,84.79,0.8479,2026-05-13,12.8613,-2.9404,0.721,-0.1735,1.6857,0.0,0.0,0.0,0.5333,-0.5333,Small Cap
3,BEAR,TSFINV,82.69,0.8269,2026-05-13,22.1271,0.261,0.7751,-0.0236,1.8044,0.0,0.0,0.0,0.325,-0.325,Small Cap
4,BEAR,ARE&M,80.8,0.808,2026-05-13,27.9399,3.5152,0.8411,0.0935,0.9105,0.0,0.0,0.2917,0.0,0.2917,Small Cap
5,BEAR,ECLERX,80.39,0.8039,2026-05-13,20.6703,1.0107,0.7589,0.0199,1.0299,0.0,0.0,0.0667,0.0,0.0667,Small Cap
6,BEAR,SHAKTIPUMP,79.74,0.7974,2026-05-13,15.0588,1.2566,0.7579,0.0253,1.2775,0.0,0.0,0.0,0.0,0.0,Small Cap
7,BEAR,AWL,79.71,0.7971,2026-05-13,31.2955,2.3417,0.8834,0.0528,0.9326,0.0,0.0,0.0,0.1083,-0.1083,Small Cap
8,BEAR,IEX,79.56,0.7956,2026-05-13,13.6604,-0.4174,0.825,-0.0471,1.192,0.0,0.0,0.0,0.0,0.0,Small Cap
9,BEAR,BLUEDART,79.55,0.7955,2026-05-13,26.5561,0.2779,0.9606,-0.0254,1.0071,0.0,0.0,0.0,0.2667,-0.2667,Small Cap
10,BEAR,TTML,78.32,0.7832,2026-05-13,35.6585,0.0931,0.7445,-0.0302,1.718,0.0,0.0,0.0,0.0,0.0,Small Cap
