rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,AHLWEST,8.33,1.0,2026-05-13,56.3337,11.4803,1.0,0.4541,0.246,0.0,0.0,0.9333,0.0,0.9333
2,BULL,DSSL,8.33,0.9026,2026-05-13,42.9392,4.8133,1.0,0.2239,1.3689,0.0,0.0,0.9333,0.0,0.9333
3,BULL,BATLIBOI,8.33,0.8857,2026-05-13,55.7916,11.4803,0.7166,0.4541,0.6429,0.0,0.0,0.9333,0.0,0.9333
4,BULL,ADANIENT,8.33,0.8779,2026-05-13,42.0695,4.9127,0.9585,0.1253,1.3953,0.0,0.0,0.9333,0.0,0.9333
5,BULL,VIJAYA,8.33,0.8708,2026-05-13,49.5342,7.3638,0.9824,0.2313,0.7228,0.0,0.0,0.9333,0.0,0.9333
6,BULL,NRBBEARING,8.33,0.8703,2026-05-13,36.1896,6.4764,1.0,0.2619,1.3877,0.0,0.0,0.9333,0.0,0.9333
7,BULL,BBOX,8.33,0.8606,2026-05-13,55.6825,9.9417,0.996,0.4246,1.1048,0.0,0.0,0.9333,0.0,0.9333
8,BULL,MIDHANI,8.33,0.8525,2026-05-13,31.7022,5.0958,1.0,0.1949,1.6945,0.0,0.0,0.9333,0.0,0.9333
9,BULL,DHANBANK,8.33,0.8387,2026-05-13,42.9017,3.7711,0.9612,0.1615,1.2512,0.0,0.0,0.9333,0.0,0.9333
10,BULL,SANGINITA,8.33,0.8325,2026-05-13,48.5525,3.5611,0.6814,0.0835,0.5151,0.0,0.0,0.8,0.0,0.8
11,BULL,SIGMAADV,8.33,0.8295,2026-05-13,56.3337,11.4803,1.0,0.4541,1.1194,0.0,0.0,0.6667,0.0,0.6667
12,BULL,ADANIPORTS,8.33,0.8219,2026-05-13,28.0193,5.4952,1.0,0.136,1.4275,0.0,0.0,0.9333,0.0,0.9333
