rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,ADANIENT,87.79,0.8779,2026-05-13,42.0695,4.9127,0.9585,0.1253,1.3953,0.0,0.0,0.9333,0.0,0.9333,Large Cap
2,BULL,ADANIPORTS,82.19,0.8219,2026-05-13,28.0193,5.4952,1.0,0.136,1.4275,0.0,0.0,0.9333,0.0,0.9333,Large Cap
3,BULL,SOLARINDS,76.46,0.7646,2026-05-13,35.8057,2.7911,0.8177,0.0488,0.7068,0.0,0.0,0.4,0.0,0.4,Large Cap
4,BULL,HINDALCO,75.33,0.7533,2026-05-13,27.7816,3.5222,0.8198,0.058,0.6741,0.0,0.0,0.2667,0.0,0.2667,Large Cap
5,BULL,ADANIGREEN,75.14,0.7514,2026-05-13,43.5622,5.7488,1.0,0.1958,1.587,0.0,0.0,0.5333,0.0333,0.5,Large Cap
6,BULL,BHEL,72.89,0.7289,2026-05-13,52.1012,9.028,0.9737,0.3043,1.1614,0.0,0.0,0.2667,0.0,0.2667,Large Cap
7,BULL,DIVISLAB,70.38,0.7038,2026-05-13,38.566,5.5887,0.6501,0.0784,0.4921,0.0,0.0,0.1333,0.0,0.1333,Large Cap
8,BULL,TATAPOWER,70.23,0.7023,2026-05-13,21.8004,-0.412,0.9529,-0.0471,0.638,0.0,0.0,0.4333,0.0,0.4333,Large Cap
9,BULL,TORNTPHARM,68.39,0.6839,2026-05-13,21.7502,1.0679,0.8924,-0.0075,0.2284,0.0,0.0,0.0,0.0,0.0,Large Cap
10,BULL,BSE,67.63,0.6763,2026-05-13,40.1327,5.922,0.8362,0.1285,1.3727,0.0,0.0,0.0,0.0,0.0,Large Cap
