rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,AHLWEST,100.0,1.0,2026-05-13,56.3337,11.4803,1.0,0.4541,0.246,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
2,BULL,DSSL,90.26,0.9026,2026-05-13,42.9392,4.8133,1.0,0.2239,1.3689,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
3,BULL,DLINKINDIA,89.14,0.8914,2026-05-13,29.1771,3.5319,0.8765,0.0866,1.1416,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
4,BULL,BATLIBOI,88.57,0.8857,2026-05-13,55.7916,11.4803,0.7166,0.4541,0.6429,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
5,BULL,NRBBEARING,87.03,0.8703,2026-05-13,36.1896,6.4764,1.0,0.2619,1.3877,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
6,BULL,ZIMLAB,85.76,0.8576,2026-05-13,47.2129,5.994,1.0,0.3318,1.1508,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
7,BULL,DHANBANK,83.87,0.8387,2026-05-13,42.9017,3.7711,0.9612,0.1615,1.2512,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
8,BULL,EASTSILK,83.49,0.8349,2026-05-13,17.9896,-1.4705,0.6847,-0.1227,0.8335,0.0,0.0,0.75,0.0,0.75,Micro Cap
9,BULL,SANGINITA,83.25,0.8325,2026-05-13,48.5525,3.5611,0.6814,0.0835,0.5151,0.0,0.0,0.8,0.0,0.8,Micro Cap
10,BULL,SHERA,81.28,0.8128,2026-05-13,36.1006,6.4217,1.0,0.2935,1.3278,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
