rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,HINDCOPPER,85.4,0.854,2026-05-13,17.9399,3.2461,0.5548,0.0872,1.5852,0.0,0.0,0.8,0.0,0.8,Mid Cap
2,BULL,NAVINFLUOR,80.24,0.8024,2026-05-13,29.9562,3.42,0.7888,0.0678,0.8394,0.0,0.0,0.6667,0.0,0.6667,Mid Cap
3,BULL,ALKEM,69.41,0.6941,2026-05-13,14.4022,0.6496,0.8719,-0.0165,0.9002,0.0,0.0,0.0,0.0,0.0,Mid Cap
4,BULL,BIOCON,68.49,0.6849,2026-05-13,25.2272,6.4861,0.9485,0.1564,0.7423,0.0,0.0,0.0,0.0,0.0,Mid Cap
5,BULL,SONACOMS,68.03,0.6803,2026-05-13,25.0983,1.0785,0.9375,0.0034,1.2242,0.0,0.0,0.0,0.0,0.0,Mid Cap
6,BULL,LAURUSLABS,67.88,0.6788,2026-05-13,30.5402,5.7394,0.9297,0.1295,0.9522,0.0,0.0,0.0,0.0,0.0,Mid Cap
7,BULL,BANKINDIA,67.22,0.6722,2026-05-13,16.9616,-0.9213,0.7227,-0.0652,1.4684,0.0,0.0,0.175,0.0,0.175,Mid Cap
8,BULL,ASTERDM,66.96,0.6696,2026-05-13,26.2097,3.1789,0.8119,0.065,0.4988,0.0,0.0,0.0,0.0,0.0,Mid Cap
9,BULL,AUROPHARMA,66.91,0.6691,2026-05-13,25.231,4.6514,0.837,0.0767,0.3646,0.0,0.0,0.0,0.0,0.0,Mid Cap
10,BULL,SCHAEFFLER,65.4,0.654,2026-05-13,19.1951,2.048,0.7831,0.032,1.2132,0.0,0.0,0.325,0.0,0.325,Mid Cap
