rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,VIJAYA,87.08,0.8708,2026-05-13,49.5342,7.3638,0.9824,0.2313,0.7228,0.0,0.0,0.9333,0.0,0.9333,Small Cap
2,BULL,BBOX,86.06,0.8606,2026-05-13,55.6825,9.9417,0.996,0.4246,1.1048,0.0,0.0,0.9333,0.0,0.9333,Small Cap
3,BULL,MIDHANI,85.25,0.8525,2026-05-13,31.7022,5.0958,1.0,0.1949,1.6945,0.0,0.0,0.9333,0.0,0.9333,Small Cap
4,BULL,SIGMAADV,82.95,0.8295,2026-05-13,56.3337,11.4803,1.0,0.4541,1.1194,0.0,0.0,0.6667,0.0,0.6667,Small Cap
5,BULL,SJS,82.18,0.8218,2026-05-13,29.3241,2.7454,0.8596,0.0677,1.6098,0.0,0.0,0.6667,0.0,0.6667,Small Cap
6,BULL,MANAPPURAM,79.86,0.7986,2026-05-13,28.0978,4.4199,0.87,0.1162,1.0636,0.0,0.0,0.9333,0.0,0.9333,Small Cap
7,BULL,STAR,78.05,0.7805,2026-05-13,44.0783,3.6247,1.0,0.1009,0.0604,0.0,0.0,0.6667,0.0,0.6667,Small Cap
8,BULL,FIEMIND,77.59,0.7759,2026-05-13,10.5419,0.6649,0.6901,-0.0129,1.4808,0.0,0.0,0.8333,0.0,0.8333,Small Cap
9,BULL,AZAD,76.72,0.7672,2026-05-13,44.9507,4.1773,0.9726,0.1613,1.252,0.0,0.0,0.5333,0.0,0.5333,Small Cap
10,BULL,V2RETAIL,75.35,0.7535,2026-05-13,17.5045,4.6909,0.9432,0.1681,0.8348,0.0,0.0,0.5333,0.0,0.5333,Small Cap
