rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,AHLWEST,8.33,1.0,2026-05-13,56.3337,11.4803,1.0,0.4541,0.246,0.0,0.0,0.9333,0.0,0.9333
2,BULL,DSSL,8.33,0.9026,2026-05-13,42.9392,4.8133,1.0,0.2239,1.3689,0.0,0.0,0.9333,0.0,0.9333
3,BULL,BATLIBOI,8.33,0.8857,2026-05-13,55.7916,11.4803,0.7166,0.4541,0.6429,0.0,0.0,0.9333,0.0,0.9333
4,BULL,ADANIENT,8.33,0.8779,2026-05-13,42.0695,4.9127,0.9585,0.1253,1.3953,0.0,0.0,0.9333,0.0,0.9333
5,BULL,VIJAYA,8.33,0.8708,2026-05-13,49.5342,7.3638,0.9824,0.2313,0.7228,0.0,0.0,0.9333,0.0,0.9333
6,BULL,NRBBEARING,8.33,0.8703,2026-05-13,36.1896,6.4764,1.0,0.2619,1.3877,0.0,0.0,0.9333,0.0,0.9333
7,BULL,BBOX,8.33,0.8606,2026-05-13,55.6825,9.9417,0.996,0.4246,1.1048,0.0,0.0,0.9333,0.0,0.9333
8,BULL,MIDHANI,8.33,0.8525,2026-05-13,31.7022,5.0958,1.0,0.1949,1.6945,0.0,0.0,0.9333,0.0,0.9333
9,BULL,DHANBANK,8.33,0.8387,2026-05-13,42.9017,3.7711,0.9612,0.1615,1.2512,0.0,0.0,0.9333,0.0,0.9333
10,BULL,SANGINITA,8.33,0.8325,2026-05-13,48.5525,3.5611,0.6814,0.0835,0.5151,0.0,0.0,0.8,0.0,0.8
11,BULL,SIGMAADV,8.33,0.8295,2026-05-13,56.3337,11.4803,1.0,0.4541,1.1194,0.0,0.0,0.6667,0.0,0.6667
12,BULL,ADANIPORTS,8.33,0.8219,2026-05-13,28.0193,5.4952,1.0,0.136,1.4275,0.0,0.0,0.9333,0.0,0.9333
1,BEAR,STEELXIND,8.33,0.7442,2026-05-13,36.2012,2.8792,1.0,0.1395,1.5051,0.0,0.0,0.4,0.0,0.4
2,BEAR,ICICIGI,8.33,0.7423,2026-05-13,14.3967,0.4521,0.8688,-0.0223,0.6745,0.0,0.0,0.0,0.2667,-0.2667
3,BEAR,CINELINE,8.33,0.7041,2026-05-13,10.318,-0.4636,0.7422,-0.0538,0.8648,0.0,0.0,0.0,0.0,0.0
4,BEAR,CHOLAFIN,8.33,0.7008,2026-05-13,14.4961,1.2413,0.8725,0.0092,1.6464,0.0,0.0,0.0,0.5333,-0.5333
5,BEAR,CENTRALBK,8.33,0.6644,2026-05-13,13.5764,-0.2276,0.7084,-0.0405,1.3868,0.0,0.0,0.0,0.6667,-0.6667
6,BEAR,RUBYMILLS,8.33,0.6491,2026-05-13,44.6752,0.2726,0.7898,-0.0227,0.8643,0.0,0.0,0.1083,0.0,0.1083
7,BEAR,DRREDDY,8.33,0.6479,2026-05-13,21.7418,0.7741,0.9401,-0.011,0.3503,0.0,0.0,0.0,0.0,0.0
8,BEAR,SPANDANA,8.33,0.6345,2026-05-13,27.2534,4.2077,0.9901,0.1785,1.5746,0.0,0.0,0.0,0.0333,-0.0333
9,BEAR,SANDHAR,8.33,0.6249,2026-05-13,18.3926,1.4272,0.808,0.0249,1.0916,0.0,0.0,0.4333,0.0,0.4333
10,BEAR,DEEPAKNTR,8.33,0.6202,2026-05-13,43.9248,6.792,0.9669,0.1965,1.059,0.0,0.0,0.4,0.0,0.4
11,BEAR,DWARKESH,8.33,0.5983,2026-05-13,27.6703,0.3224,0.9049,-0.016,0.0482,0.0,0.0,0.0,0.0,0.0
12,BEAR,POWERGRID,8.33,0.5977,2026-05-13,25.4944,0.1711,0.7594,-0.0307,0.3149,0.0,0.0,0.0,0.0,0.0
