rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BEAR,BPCL,8.33,1.0,2026-05-13,14.6325,0.4198,0.7727,-0.0205,1.3922,0.0,0.0,0.0,0.6667,-0.6667
2,BEAR,FINEORG,8.33,0.9668,2026-05-13,14.1315,0.2585,0.8626,-0.0263,0.9932,0.0,0.0,0.0,0.5833,-0.5833
3,BEAR,EICHERMOT,8.33,0.9616,2026-05-13,10.9479,-0.3976,0.7608,-0.0458,1.4528,0.0,0.0,0.0,0.5417,-0.5417
4,BEAR,UPL,8.33,0.943,2026-05-13,12.9978,-0.6553,0.6703,-0.056,1.1261,0.0,0.0,0.1667,0.6667,-0.6667
5,BEAR,ANDHRAPAP,8.33,0.9331,2026-05-13,31.5259,0.8361,0.9164,-0.0046,0.9137,0.0,0.0,0.0,0.6667,-0.6667
6,BEAR,VISAKAIND,8.33,0.9169,2026-05-13,37.6193,4.4774,1.0,0.1477,0.9844,0.0,0.0,0.4,0.1333,0.2667
7,BEAR,RKFORGE,8.33,0.8718,2026-05-13,24.6221,2.1769,0.954,0.0552,1.1562,0.0,0.0,0.0,0.1,-0.1
8,BEAR,NBCC,8.33,0.8564,2026-05-13,14.8904,2.0143,0.8148,0.0334,1.7005,0.0,0.0,0.0,0.25,-0.25
9,BEAR,TNPL,8.33,0.8552,2026-05-13,36.5861,2.562,0.8841,0.0608,0.6716,0.0,0.0,0.0,0.1,-0.1
10,BEAR,SOMANYCERA,8.33,0.8473,2026-05-13,24.475,1.8911,0.8866,0.0421,1.3614,0.0,0.0,0.325,0.1167,0.2083
11,BEAR,TIRUMALCHM,8.33,0.8406,2026-05-13,24.3383,1.3805,0.7472,0.0274,1.3766,0.0,0.0,0.0,0.4333,-0.4333
12,BEAR,3MINDIA,8.33,0.836,2026-05-13,15.9795,-0.2006,0.658,-0.0405,0.9502,0.0,0.0,0.0,0.4,-0.4
