rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,BPCL,100.0,1.0,2026-05-13,14.6325,0.4198,0.7727,-0.0205,1.3922,0.0,0.0,0.0,0.6667,-0.6667,Large Cap
2,BEAR,EICHERMOT,96.16,0.9616,2026-05-13,10.9479,-0.3976,0.7608,-0.0458,1.4528,0.0,0.0,0.0,0.5417,-0.5417,Large Cap
3,BEAR,CHOLAFIN,82.52,0.8252,2026-05-13,14.4961,1.2413,0.8725,0.0092,1.6464,0.0,0.0,0.0,0.5333,-0.5333,Large Cap
4,BEAR,TITAN,76.53,0.7653,2026-05-13,12.462,-2.3615,0.991,-0.1163,1.2106,0.0,0.0,0.0,0.325,-0.325,Large Cap
5,BEAR,MOTHERSON,76.29,0.7629,2026-05-13,21.9709,1.6341,0.8721,0.0242,1.8481,0.0,0.0,0.0,0.0,0.0,Large Cap
6,BEAR,BANKBARODA,74.94,0.7494,2026-05-13,23.2656,-1.8057,0.7435,-0.0869,1.3997,0.0,0.0,0.0,0.4,-0.4,Large Cap
7,BEAR,ASIANPAINT,74.15,0.7415,2026-05-13,28.1903,4.0064,0.9582,0.0723,1.1987,0.0,0.0,0.4,0.1333,0.2667,Large Cap
8,BEAR,GRASIM,72.79,0.7279,2026-05-13,23.2822,3.5707,0.8207,0.0477,1.1592,0.0,0.0,0.0,0.0333,-0.0333,Large Cap
9,BEAR,DIVISLAB,72.51,0.7251,2026-05-13,38.566,5.5887,0.6501,0.0784,0.4921,0.0,0.0,0.1333,0.0,0.1333,Large Cap
10,BEAR,SOLARINDS,72.46,0.7246,2026-05-13,35.8057,2.7911,0.8177,0.0488,0.7068,0.0,0.0,0.4,0.0,0.4,Large Cap
