rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,ANDHRAPAP,93.31,0.9331,2026-05-13,31.5259,0.8361,0.9164,-0.0046,0.9137,0.0,0.0,0.0,0.6667,-0.6667,Micro Cap
2,BEAR,VISAKAIND,91.69,0.9169,2026-05-13,37.6193,4.4774,1.0,0.1477,0.9844,0.0,0.0,0.4,0.1333,0.2667,Micro Cap
3,BEAR,ARTEMISMED,90.3,0.903,2026-05-13,33.282,4.8169,0.9533,0.1529,0.8518,0.0,0.0,0.4,0.1333,0.2667,Micro Cap
4,BEAR,TNPL,85.52,0.8552,2026-05-13,36.5861,2.562,0.8841,0.0608,0.6716,0.0,0.0,0.0,0.1,-0.1,Micro Cap
5,BEAR,SOMANYCERA,84.73,0.8473,2026-05-13,24.475,1.8911,0.8866,0.0421,1.3614,0.0,0.0,0.325,0.1167,0.2083,Micro Cap
6,BEAR,TIRUMALCHM,84.06,0.8406,2026-05-13,24.3383,1.3805,0.7472,0.0274,1.3766,0.0,0.0,0.0,0.4333,-0.4333,Micro Cap
7,BEAR,PSPPROJECT,80.29,0.8029,2026-05-13,33.4034,2.3105,0.9166,0.0654,1.6024,0.0,0.0,0.0,0.4333,-0.4333,Micro Cap
8,BEAR,BUTTERFLY,79.48,0.7948,2026-05-13,33.8571,2.4655,0.7129,0.0754,-0.1234,0.0,0.0,0.6667,0.2,0.4667,Micro Cap
9,BEAR,DECCANCE,79.08,0.7908,2026-05-13,12.5753,-0.0913,0.7632,-0.0384,1.4709,0.0,0.0,0.0,0.5333,-0.5333,Micro Cap
10,BEAR,RATNAVEER,77.91,0.7791,2026-05-13,38.461,2.0576,1.0,0.092,1.3218,0.0,0.0,0.5333,0.1,0.4333,Micro Cap
