rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,UPL,94.3,0.943,2026-05-13,12.9978,-0.6553,0.6703,-0.056,1.1261,0.0,0.0,0.1667,0.6667,-0.6667,Mid Cap
2,BEAR,3MINDIA,83.6,0.836,2026-05-13,15.9795,-0.2006,0.658,-0.0405,0.9502,0.0,0.0,0.0,0.4,-0.4,Mid Cap
3,BEAR,SUNDARMFIN,80.77,0.8077,2026-05-13,20.3698,-1.7573,0.6246,-0.0922,1.1561,0.0,0.0,0.0,0.4,-0.4,Mid Cap
4,BEAR,ALKEM,74.95,0.7495,2026-05-13,14.4022,0.6496,0.8719,-0.0165,0.9002,0.0,0.0,0.0,0.0,0.0,Mid Cap
5,BEAR,TIINDIA,73.4,0.734,2026-05-13,22.5826,2.2114,0.9164,0.0452,0.9791,0.0,0.0,0.0,0.0,0.0,Mid Cap
6,BEAR,SCHAEFFLER,73.34,0.7334,2026-05-13,19.1951,2.048,0.7831,0.032,1.2132,0.0,0.0,0.325,0.0,0.325,Mid Cap
7,BEAR,SRF,73.01,0.7301,2026-05-13,17.288,3.1481,0.8506,0.0636,1.0783,0.0,0.0,0.0,0.0,0.0,Mid Cap
8,BEAR,360ONE,71.46,0.7146,2026-05-13,16.9801,2.2673,0.7914,0.0364,1.128,0.0,0.0,0.0,0.0,0.0,Mid Cap
9,BEAR,BIOCON,70.9,0.709,2026-05-13,25.2272,6.4861,0.9485,0.1564,0.7423,0.0,0.0,0.0,0.0,0.0,Mid Cap
10,BEAR,ENDURANCE,70.84,0.7084,2026-05-13,23.4326,1.4796,1.0,0.0215,0.981,0.0,0.0,0.0,0.0,0.0,Mid Cap
