rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,FINEORG,96.68,0.9668,2026-05-13,14.1315,0.2585,0.8626,-0.0263,0.9932,0.0,0.0,0.0,0.5833,-0.5833,Small Cap
2,BEAR,RKFORGE,87.18,0.8718,2026-05-13,24.6221,2.1769,0.954,0.0552,1.1562,0.0,0.0,0.0,0.1,-0.1,Small Cap
3,BEAR,NBCC,85.64,0.8564,2026-05-13,14.8904,2.0143,0.8148,0.0334,1.7005,0.0,0.0,0.0,0.25,-0.25,Small Cap
4,BEAR,CREDITACC,77.07,0.7707,2026-05-13,37.3366,1.9209,1.0,0.0547,0.7924,0.0,0.0,0.0,0.0333,-0.0333,Small Cap
5,BEAR,VOLTAMP,77.01,0.7701,2026-05-13,31.8597,-0.1245,0.8728,-0.0423,0.9508,0.0,0.0,0.0,0.0583,-0.0583,Small Cap
6,BEAR,ANGELONE,76.34,0.7634,2026-05-13,26.1129,1.5846,0.8552,0.0266,1.602,0.0,0.0,0.0,0.0,0.0,Small Cap
7,BEAR,UJJIVANSFB,76.06,0.7606,2026-05-13,14.0121,-1.381,0.8469,-0.0949,1.767,0.0,0.0,0.0,0.0,0.0,Small Cap
8,BEAR,CROMPTON,75.68,0.7568,2026-05-13,29.7335,5.562,0.9631,0.1463,1.2987,0.0,0.0,0.0,0.0,0.0,Small Cap
9,BEAR,TECHNOE,75.51,0.7551,2026-05-13,21.1898,1.9014,0.922,0.0439,1.5324,0.0,0.0,0.0,0.0,0.0,Small Cap
10,BEAR,TARIL,75.06,0.7506,2026-05-13,14.4068,1.2587,0.9358,0.0336,1.7088,0.0,0.0,0.0,0.0,0.0,Small Cap
