rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,TATVA,8.33,0.6863,2026-05-13,21.8988,0.7728,0.7831,-0.0003,1.0472,0.0,0.0,0.5833,0.0,0.5833
2,BULL,UNIVCABLES,8.33,0.6857,2026-05-13,46.7467,3.7518,1.0,0.2219,1.729,0.0,0.0,0.9333,0.0,0.9333
3,BULL,CIPLA,8.33,0.6659,2026-05-13,32.6667,3.7596,1.0,0.0573,0.4939,0.0,0.0,0.5833,0.0,0.5833
4,BULL,SHIGAN,8.33,0.6473,2026-05-13,28.8209,9.6295,0.6456,0.35,0.4625,0.0,0.0,0.4,0.0333,0.3667
5,BULL,ARIHANT,8.33,0.63,2026-05-13,56.3337,11.4803,0.7916,0.4541,0.7257,0.0,0.0,0.4,0.0,0.4
6,BULL,ARISTO,8.33,0.6275,2026-05-13,30.1331,7.6057,0.9027,0.2603,0.3983,0.0,0.0,0.325,0.0,0.325
7,BULL,SADHNANIQ,8.33,0.6249,2026-05-13,38.2457,7.3777,0.8049,0.2948,0.7383,0.0,0.0,0.4,0.0333,0.3667
8,BULL,EMAMIREAL,8.33,0.6169,2026-05-13,39.8151,5.7525,0.826,0.3109,1.4092,0.0,0.0,0.4,0.0,0.4
9,BULL,ROCKINGDCE,8.33,0.6115,2026-05-13,22.012,3.8154,0.8039,0.176,0.9958,0.0,0.0,0.2667,0.1333,0.1333
10,BULL,ELGIRUBCO,8.33,0.6074,2026-05-13,29.2541,2.222,0.9487,0.1377,2.0647,0.0,0.0,0.25,0.0833,0.1667
11,BULL,CHEMBOND,8.33,0.6025,2026-05-13,33.015,2.8875,0.9825,0.1533,1.2065,0.0,0.0,0.4,0.1333,0.2667
12,BULL,SPARC,8.33,0.6021,2026-05-13,28.425,2.8884,0.9724,0.1349,1.979,0.0,0.0,0.4,0.0,0.4
