rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,CIPLA,66.59,0.6659,2026-05-13,32.6667,3.7596,1.0,0.0573,0.4939,0.0,0.0,0.5833,0.0,0.5833,Large Cap
2,BULL,ADANIGREEN,63.12,0.6312,2026-05-13,43.5622,5.7488,1.0,0.1958,1.587,0.0,0.0,0.5333,0.0333,0.5,Large Cap
3,BULL,BHEL,62.38,0.6238,2026-05-13,52.1012,9.028,0.9737,0.3043,1.1614,0.0,0.0,0.2667,0.0,0.2667,Large Cap
4,BULL,NESTLEIND,56.06,0.5606,2026-05-13,54.7245,8.7815,0.8638,0.1461,0.6288,0.0,0.0,0.4,0.0,0.4,Large Cap
5,BULL,SUNPHARMA,55.62,0.5562,2026-05-13,24.6211,4.0011,0.9089,0.0648,0.3474,0.0,0.0,0.9333,0.0,0.9333,Large Cap
6,BULL,ADANIPOWER,54.72,0.5472,2026-05-13,37.4713,4.1058,1.0,0.1304,0.9029,0.0,0.0,0.0,0.0,0.0,Large Cap
7,BULL,HCLTECH,52.2,0.522,2026-05-13,39.0664,-4.263,0.7257,-0.239,0.6901,0.0,0.0,0.0,0.0,0.0,Large Cap
8,BULL,JIOFIN,51.28,0.5128,2026-05-13,16.0154,-0.854,0.8657,-0.0611,1.3269,0.0,0.0,0.0,0.0,0.0,Large Cap
9,BULL,INFY,50.72,0.5072,2026-05-13,25.2831,-4.263,0.6342,-0.1628,0.552,0.0,0.0,0.0,0.0,0.0,Large Cap
10,BULL,MUTHOOTFIN,47.61,0.4761,2026-05-13,11.2879,-0.235,0.641,-0.042,1.351,0.0,0.0,0.0,0.0,0.0,Large Cap
