rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,AHLWEST,100.0,1.0,2026-05-13,56.3337,11.4803,1.0,0.4541,0.246,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
2,BULL,BATLIBOI,87.19,0.8719,2026-05-13,55.7916,11.4803,0.7166,0.4541,0.6429,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
3,BULL,EASTSILK,83.5,0.835,2026-05-13,17.9896,-1.4705,0.6847,-0.1227,0.8335,0.0,0.0,0.75,0.0,0.75,Micro Cap
4,BULL,UNIVPHOTO,81.92,0.8192,2026-05-13,25.2566,4.1317,0.7353,0.1412,-0.1234,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
5,BULL,CELLECOR,81.56,0.8156,2026-05-13,34.587,5.6933,1.0,0.2674,0.6853,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
6,BULL,CALSOFT,80.16,0.8016,2026-05-13,48.1777,11.4803,1.0,0.4541,0.8695,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
7,BULL,SANGINITA,77.21,0.7721,2026-05-13,48.5525,3.5611,0.6814,0.0835,0.5151,0.0,0.0,0.8,0.0,0.8,Micro Cap
8,BULL,SHERA,75.97,0.7597,2026-05-13,36.1006,6.4217,1.0,0.2935,1.3278,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
9,BULL,SHYAMTEL,74.71,0.7471,2026-05-13,53.8036,11.4803,0.7153,0.4541,0.1822,0.0,0.0,0.6667,0.0,0.6667,Micro Cap
10,BULL,DSSL,71.51,0.7151,2026-05-13,42.9392,4.8133,1.0,0.2239,1.3689,0.0,0.0,0.9333,0.0,0.9333,Micro Cap
