rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,UBL,53.24,0.5324,2026-05-13,22.251,-1.9356,0.7206,-0.0912,0.3352,0.0,0.0,0.0,0.0,0.0,Mid Cap
2,BULL,SBICARD,50.68,0.5068,2026-05-13,20.8964,-2.0058,0.6768,-0.0911,1.0741,0.0,0.0,0.0,0.0,0.0,Mid Cap
3,BULL,HINDCOPPER,50.44,0.5044,2026-05-13,17.9399,3.2461,0.5548,0.0872,1.5852,0.0,0.0,0.8,0.0,0.8,Mid Cap
4,BULL,THERMAX,49.84,0.4984,2026-05-13,51.1418,3.6867,1.0,0.1263,0.6671,0.0,0.0,0.0,0.0,0.0,Mid Cap
5,BULL,NATIONALUM,47.25,0.4725,2026-05-13,20.6567,-0.5272,0.8141,-0.0533,0.4076,0.0,0.0,0.0,0.0,0.0,Mid Cap
6,BULL,APARINDS,46.61,0.4661,2026-05-13,45.1219,2.8098,0.893,0.0768,0.9241,0.0,0.0,0.0,0.0,0.0,Mid Cap
7,BULL,BALKRISIND,45.85,0.4585,2026-05-13,16.4327,-1.6234,0.7542,-0.0941,1.1467,0.0,0.0,0.0,0.0,0.0,Mid Cap
8,BULL,SUZLON,44.29,0.4429,2026-05-13,30.827,4.0467,1.0,0.112,1.4014,0.0,0.0,0.4167,0.0,0.4167,Mid Cap
9,BULL,BHARATFORG,44.25,0.4425,2026-05-13,22.4184,2.155,1.0,0.0427,1.319,0.0,0.0,0.0,0.0,0.0,Mid Cap
10,BULL,IRCTC,43.21,0.4321,2026-05-13,15.917,-0.1232,0.7684,-0.0379,1.1212,0.0,0.0,0.0,0.2667,-0.2667,Mid Cap
