rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,SIGMAADV,75.91,0.7591,2026-05-13,56.3337,11.4803,1.0,0.4541,1.1194,0.0,0.0,0.6667,0.0,0.6667,Small Cap
2,BULL,SUNFLAG,74.29,0.7429,2026-05-13,46.4542,7.0572,1.0,0.3823,2.0368,0.0,0.0,0.9333,0.0,0.9333,Small Cap
3,BULL,BBOX,72.69,0.7269,2026-05-13,55.6825,9.9417,0.996,0.4246,1.1048,0.0,0.0,0.9333,0.0,0.9333,Small Cap
4,BULL,MANAPPURAM,64.71,0.6471,2026-05-13,28.0978,4.4199,0.87,0.1162,1.0636,0.0,0.0,0.9333,0.0,0.9333,Small Cap
5,BULL,BAJAJCON,62.23,0.6223,2026-05-13,46.3746,4.3051,1.0,0.1878,1.243,0.0,0.0,0.2667,0.0,0.2667,Small Cap
6,BULL,DEEPAKNTR,61.49,0.6149,2026-05-13,43.9248,6.792,0.9669,0.1965,1.059,0.0,0.0,0.4,0.0,0.4,Small Cap
7,BULL,SPARC,60.21,0.6021,2026-05-13,28.425,2.8884,0.9724,0.1349,1.979,0.0,0.0,0.4,0.0,0.4,Small Cap
8,BULL,FIEMIND,58.76,0.5876,2026-05-13,10.5419,0.6649,0.6901,-0.0129,1.4808,0.0,0.0,0.8333,0.0,0.8333,Small Cap
9,BULL,TANLA,57.44,0.5744,2026-05-13,24.1116,2.7503,0.8788,0.1007,1.8006,0.0,0.0,0.325,0.0,0.325,Small Cap
10,BULL,NUVAMA,56.81,0.5681,2026-05-13,29.8675,4.3032,0.9653,0.1243,1.231,0.0,0.0,0.6667,0.0,0.6667,Small Cap
