rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,TATVA,8.33,0.6863,2026-05-13,21.8988,0.7728,0.7831,-0.0003,1.0472,0.0,0.0,0.5833,0.0,0.5833
2,BULL,UNIVCABLES,8.33,0.6857,2026-05-13,46.7467,3.7518,1.0,0.2219,1.729,0.0,0.0,0.9333,0.0,0.9333
3,BULL,CIPLA,8.33,0.6659,2026-05-13,32.6667,3.7596,1.0,0.0573,0.4939,0.0,0.0,0.5833,0.0,0.5833
4,BULL,SHIGAN,8.33,0.6473,2026-05-13,28.8209,9.6295,0.6456,0.35,0.4625,0.0,0.0,0.4,0.0333,0.3667
5,BULL,ARIHANT,8.33,0.63,2026-05-13,56.3337,11.4803,0.7916,0.4541,0.7257,0.0,0.0,0.4,0.0,0.4
6,BULL,ARISTO,8.33,0.6275,2026-05-13,30.1331,7.6057,0.9027,0.2603,0.3983,0.0,0.0,0.325,0.0,0.325
7,BULL,SADHNANIQ,8.33,0.6249,2026-05-13,38.2457,7.3777,0.8049,0.2948,0.7383,0.0,0.0,0.4,0.0333,0.3667
8,BULL,EMAMIREAL,8.33,0.6169,2026-05-13,39.8151,5.7525,0.826,0.3109,1.4092,0.0,0.0,0.4,0.0,0.4
9,BULL,ROCKINGDCE,8.33,0.6115,2026-05-13,22.012,3.8154,0.8039,0.176,0.9958,0.0,0.0,0.2667,0.1333,0.1333
10,BULL,ELGIRUBCO,8.33,0.6074,2026-05-13,29.2541,2.222,0.9487,0.1377,2.0647,0.0,0.0,0.25,0.0833,0.1667
11,BULL,CHEMBOND,8.33,0.6025,2026-05-13,33.015,2.8875,0.9825,0.1533,1.2065,0.0,0.0,0.4,0.1333,0.2667
12,BULL,SPARC,8.33,0.6021,2026-05-13,28.425,2.8884,0.9724,0.1349,1.979,0.0,0.0,0.4,0.0,0.4
1,BEAR,BPCL,8.33,1.0,2026-05-13,14.6325,0.4198,0.7727,-0.0205,1.3922,0.0,0.0,0.0,0.6667,-0.6667
2,BEAR,FINEORG,8.33,0.9668,2026-05-13,14.1315,0.2585,0.8626,-0.0263,0.9932,0.0,0.0,0.0,0.5833,-0.5833
3,BEAR,EICHERMOT,8.33,0.9616,2026-05-13,10.9479,-0.3976,0.7608,-0.0458,1.4528,0.0,0.0,0.0,0.5417,-0.5417
4,BEAR,UPL,8.33,0.943,2026-05-13,12.9978,-0.6553,0.6703,-0.056,1.1261,0.0,0.0,0.1667,0.6667,-0.6667
5,BEAR,ANDHRAPAP,8.33,0.9331,2026-05-13,31.5259,0.8361,0.9164,-0.0046,0.9137,0.0,0.0,0.0,0.6667,-0.6667
6,BEAR,VISAKAIND,8.33,0.9169,2026-05-13,37.6193,4.4774,1.0,0.1477,0.9844,0.0,0.0,0.4,0.1333,0.2667
7,BEAR,RKFORGE,8.33,0.8718,2026-05-13,24.6221,2.1769,0.954,0.0552,1.1562,0.0,0.0,0.0,0.1,-0.1
8,BEAR,NBCC,8.33,0.8564,2026-05-13,14.8904,2.0143,0.8148,0.0334,1.7005,0.0,0.0,0.0,0.25,-0.25
9,BEAR,TNPL,8.33,0.8552,2026-05-13,36.5861,2.562,0.8841,0.0608,0.6716,0.0,0.0,0.0,0.1,-0.1
10,BEAR,SOMANYCERA,8.33,0.8473,2026-05-13,24.475,1.8911,0.8866,0.0421,1.3614,0.0,0.0,0.325,0.1167,0.2083
11,BEAR,TIRUMALCHM,8.33,0.8406,2026-05-13,24.3383,1.3805,0.7472,0.0274,1.3766,0.0,0.0,0.0,0.4333,-0.4333
12,BEAR,3MINDIA,8.33,0.836,2026-05-13,15.9795,-0.2006,0.658,-0.0405,0.9502,0.0,0.0,0.0,0.4,-0.4
