rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,NKE,100.0,1.0,2024-01-12,33.3282,-4.8154,0.7716,-0.1322,0.8751,1.0,0.0,0.0,0.8667,-0.8667,Large Cap
2,BEAR,CHTR,96.73,0.9673,2024-01-12,24.8101,-1.4993,0.6747,-0.0568,1.2251,1.0,0.0,0.0,0.9333,-0.9333,Large Cap
3,BEAR,ES,96.56,0.9656,2024-01-12,25.4981,-3.3131,0.9363,-0.0618,0.692,1.0,0.0,0.0,0.8,-0.8,Large Cap
4,BEAR,MKC,95.9,0.959,2024-01-12,18.0923,-2.4356,0.6538,-0.0543,0.2964,1.0,0.0,0.0,1.034,-1.0128,Large Cap
5,BEAR,CVS,95.83,0.9583,2024-01-12,31.4657,0.7606,0.955,-0.0064,0.3874,1.0,0.0,0.0,0.525,-0.525,Large Cap
6,BEAR,EXC,95.27,0.9527,2024-01-12,11.4903,-4.8154,0.6761,-0.097,0.5728,1.0,0.0,0.0,0.325,-0.325,Large Cap
7,BEAR,ADM,94.79,0.9479,2024-01-12,19.2591,-4.1362,0.8056,-0.0887,0.2982,1.0,0.0,0.0,0.4,-0.4,Large Cap
8,BEAR,DAL,94.52,0.9452,2024-01-12,29.0833,-2.1733,1.0,-0.0743,1.1149,1.0,0.0,0.0,0.25,-0.25,Large Cap
9,BEAR,COHR,94.04,0.9404,2024-01-12,27.7297,-0.3414,0.8322,-0.0149,1.8643,1.0,0.0,0.0,0.2917,-0.2917,Large Cap
10,BEAR,PFE,93.99,0.9399,2024-01-12,16.9817,3.0136,0.8177,0.0506,0.1114,1.0,0.0,0.0,1.034,-1.0128,Large Cap
