rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,RRX,98.3,0.983,2023-12-07,26.7365,4.8373,0.7,0.0704,0.5627,1.0,0.0,0.0,0.65,-0.65,Mid Cap
2,BEAR,BDC,98.12,0.9812,2023-12-07,33.0914,2.971,0.542,0.0065,1.1005,1.0,0.0,0.0,0.65,-0.65,Mid Cap
3,BEAR,BJ,97.28,0.9728,2023-12-07,18.5055,-2.2128,0.7922,-0.0982,0.4585,1.0,0.0,0.0,0.5333,-0.5333,Mid Cap
4,BEAR,XRAY,96.02,0.9602,2023-12-07,24.0738,5.8833,0.7538,0.0862,0.5068,1.0,0.0,0.0,0.9167,-0.8333,Mid Cap
5,BEAR,PII,95.68,0.9568,2023-12-07,20.0406,0.3612,0.9831,-0.0799,1.1122,1.0,0.0,0.0,0.65,-0.65,Mid Cap
6,BEAR,JAZZ,95.03,0.9503,2023-12-07,29.6421,-2.3943,0.8346,-0.1439,0.6139,1.0,0.0,0.0,0.4,-0.4,Mid Cap
7,BEAR,ILMN,94.46,0.9446,2023-12-07,33.0508,1.2704,0.9093,-0.0173,1.059,1.0,0.0,0.0,0.325,-0.325,Mid Cap
8,BEAR,RRC,94.13,0.9413,2023-12-07,27.5927,-3.2156,0.8901,-0.0871,0.4979,1.0,0.0,0.0,0.325,-0.325,Mid Cap
9,BEAR,OGS,94.13,0.9413,2023-12-07,29.6682,1.3065,0.9567,-0.0181,0.3875,1.0,0.0,0.2333,0.65,-0.4167,Mid Cap
10,BEAR,BILL,93.64,0.9364,2023-12-07,29.7237,1.9641,0.5499,0.0286,1.2055,1.0,0.0,0.0,0.65,-0.65,Mid Cap
