rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BEAR,ENVA,98.19,0.9819,2023-12-07,20.4354,4.0499,0.792,0.0409,1.5807,1.0,0.0,0.0,0.35,-0.35,Small Cap
2,BEAR,BOX,97.88,0.9788,2023-12-07,26.5159,-1.7583,0.9968,-0.1318,0.8317,1.0,0.0,0.0,0.8,-0.8,Small Cap
3,BEAR,SUPN,97.26,0.9726,2023-12-07,17.91,4.1105,0.8292,0.0742,0.5197,1.0,0.0,0.0,0.65,-0.65,Small Cap
4,BEAR,INSP,95.68,0.9568,2023-12-07,15.2387,4.2856,0.7533,0.1399,1.4058,1.0,0.0,0.0,0.9167,-0.8333,Small Cap
5,BEAR,SEDG,95.43,0.9543,2023-12-07,24.8821,2.1043,0.5181,0.0428,2.0129,1.0,0.0,0.0,0.65,-0.65,Small Cap
6,BEAR,NABL,95.35,0.9535,2023-12-07,25.8739,-3.5262,0.6868,-0.1845,0.8144,1.0,0.0,0.0,0.4,-0.4,Small Cap
7,BEAR,ABR,95.15,0.9515,2023-12-07,16.9953,1.782,0.9078,-0.0268,1.2001,1.0,0.0,0.0,0.175,-0.175,Small Cap
8,BEAR,KRYS,95.15,0.9515,2023-12-07,19.9387,0.26,0.7187,-0.0625,0.4878,1.0,0.0,0.0,0.25,-0.25,Small Cap
9,BEAR,VYX,94.58,0.9458,2023-12-07,14.1052,-1.8089,0.8116,-0.1403,1.0571,1.0,0.0,0.0,0.4,-0.4,Small Cap
10,BEAR,FWRD,94.0,0.94,2023-12-07,11.6936,-0.3158,0.5993,-0.0894,0.5904,1.0,0.0,0.0,0.8,-0.8,Small Cap
