rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,NVDA,100.0,1.0,2023-12-07,16.0602,0.0186,0.8057,-0.0801,1.7197,1.0,0.0,1.0833,0.0,1.0833,Large Cap
2,BULL,LMT,96.96,0.9696,2023-12-07,12.4268,1.0433,0.6142,-0.0669,0.185,1.0,0.0,0.7583,0.0,0.7583,Large Cap
3,BULL,YUM,96.18,0.9618,2023-12-07,14.6938,-0.4089,0.8062,-0.0979,0.5401,1.0,0.0,0.4083,0.0,0.4083,Large Cap
4,BULL,NOC,92.51,0.9251,2023-12-07,14.1539,2.8494,0.6106,-0.0393,0.1051,1.0,0.0,0.4,0.0,0.4,Large Cap
5,BULL,STLD,92.31,0.9231,2023-12-07,23.0221,1.9561,0.7727,-0.0354,0.8041,1.0,0.0,0.4,0.0,0.4,Large Cap
6,BULL,ADBE,92.13,0.9213,2023-12-07,33.7335,1.746,0.857,-0.0414,1.4707,1.0,0.0,0.8,0.0,0.8,Large Cap
7,BULL,ETR,92.06,0.9206,2023-12-07,25.8764,3.817,0.7601,0.0091,0.4812,1.0,0.0,0.4,0.0,0.4,Large Cap
8,BULL,ANET,91.97,0.9197,2023-12-07,17.7979,1.0712,0.6415,-0.0539,1.2924,1.0,0.0,0.4,0.0,0.4,Large Cap
9,BULL,ABNB,91.52,0.9152,2023-12-07,26.462,5.3276,0.9009,0.0808,1.646,1.0,0.0,0.5333,0.0,0.5333,Large Cap
10,BULL,SBUX,90.95,0.9095,2023-12-07,25.8474,-3.5262,0.8043,-0.1647,0.8294,1.0,0.0,0.1,0.0,0.1,Large Cap
