rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,cap_tier
1,BULL,VLY,98.42,0.9842,2024-01-12,35.5553,-0.5375,0.8224,-0.015,1.4675,1.0,0.0,0.65,0.0,0.65,Mid Cap
2,BULL,SYNA,98.24,0.9824,2024-01-12,24.7043,-0.9807,0.8475,-0.0382,2.0675,1.0,0.0,0.8667,0.0,0.8667,Mid Cap
3,BULL,PATH,97.7,0.977,2024-01-12,23.6081,-2.7828,0.7341,-0.1221,2.2942,1.0,0.0,0.65,0.0,0.65,Mid Cap
4,BULL,PR,97.69,0.9769,2024-01-12,11.4254,0.8041,0.7155,0.0091,0.5532,1.0,0.0,0.5,0.0,0.5,Mid Cap
5,BULL,OZK,97.66,0.9766,2024-01-12,42.8839,-0.5397,0.7918,-0.0131,1.3014,1.0,0.0,0.65,0.0,0.65,Mid Cap
6,BULL,MTDR,97.07,0.9707,2024-01-12,12.6513,0.5763,0.8076,0.0051,0.6015,1.0,0.0,0.525,0.0,0.525,Mid Cap
7,BULL,WAL,97.01,0.9701,2024-01-12,46.4869,0.692,0.8944,0.0269,2.1209,1.0,0.0,0.65,0.0,0.65,Mid Cap
8,BULL,CRDO,96.51,0.9651,2024-01-12,24.652,0.4003,0.8292,0.0144,1.9055,1.0,0.0,0.65,0.0,0.65,Mid Cap
9,BULL,PEN,95.47,0.9547,2024-01-12,24.9645,2.1405,0.8105,0.0494,1.329,1.0,0.0,0.65,0.0,0.65,Mid Cap
10,BULL,BHF,95.33,0.9533,2024-01-12,26.739,-2.4408,0.7439,-0.055,1.0308,1.0,0.0,0.4333,0.0,0.4333,Mid Cap
